epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7873,3.44032,54.9833,1.09108,0,0,0,0,4.07386,26.5312,0.66786,0.00010002,0.00010002,0.00010002
2,15.1974,3.11407,34.8685,1.11124,0,0,0,0,4.30862,11.8121,0.84781,0.000214565,0.000214565,0.000214565
3,16.5651,2.6125,12.1463,1.21981,0,0,0,0,4.26596,10.6798,0.87906,0.000326799,0.000326799,0.000326799
4,17.9117,2.99863,14.3844,1.27955,0,0,0,0,5.07609,11.179,0.92203,0.000436722,0.000436722,0.000436722
5,19.2603,3.45831,10.3028,1.45021,0,0,0,0,5.04791,11.4413,0.93235,0.000544336,0.000544336,0.000544336
6,20.5966,3.41315,14.7495,1.04678,0,0,0,0,5.26288,10.9953,0.91441,0.000649638,0.000649638,0.000649638
7,21.9489,3.68058,10.8873,1.19348,0,0,0,0,5.11121,10.2079,0.8905,0.00075263,0.00075263,0.00075263
8,23.2919,3.37055,9.717,1.15883,0,0,0,0,5.18024,10.8824,0.97221,0.000853312,0.000853312,0.000853312
9,24.651,3.57796,10.3635,1.16577,0,0,0,0,4.53542,7.89407,0.90884,0.000951684,0.000951684,0.000951684
10,25.9769,3.59527,8.73403,1.12079,0,0,0,0,4.27154,7.0622,0.90088,0.00104774,0.00104774,0.00104774
11,27.3863,3.33021,8.62658,1.1255,0,0,0,0,3.60405,6.51121,0.86099,0.00114149,0.00114149,0.00114149
12,28.7619,3.47709,7.94001,1.31493,0.00037,0.00333,0.00019,4e-05,4.21647,6.29867,0.94199,0.00123293,0.00123293,0.00123293
13,30.1251,3.29466,9.55388,1.08033,0.00038,0.00333,0.00019,6e-05,4.58539,6.65251,0.97574,0.00132206,0.00132206,0.00132206
14,31.4682,3.36106,8.44089,1.10788,0.00195,0.00667,0.00312,0.00045,4.85714,8.93776,1.13385,0.00140888,0.00140888,0.00140888
15,32.8374,3.40715,7.15867,1.14336,0.00254,0.00333,0.00158,0.00032,4.09719,270.993,0.86396,0.00143595,0.00143595,0.00143595
16,34.175,3.66738,7.77046,1.1436,0,0,0,0,5.06153,52.269,0.92947,0.00141945,0.00141945,0.00141945
17,35.4969,3.52329,7.01343,1.13713,0.5,0.00586,0.00826,0.001,3.81988,5.41445,0.94818,0.00140295,0.00140295,0.00140295
18,36.8628,3.41224,6.58406,0.99944,0.67839,0.00667,0.00831,0.00214,3.45809,3.92217,0.90179,0.00138644,0.00138644,0.00138644
19,38.292,3.53058,6.45822,1.20066,0.57391,0.00333,0.00249,0.00108,3.53613,4.28574,0.89863,0.00136994,0.00136994,0.00136994
20,39.634,3.20957,5.39566,1.20947,0.54461,0.00667,0.0041,0.00092,4.21906,4.03224,0.8885,0.00135344,0.00135344,0.00135344
21,40.9777,3.6284,5.83472,1.19337,0.05691,0.01,0.00524,0.00148,4.02714,4.07145,0.91162,0.00133693,0.00133693,0.00133693
22,42.3195,3.16963,5.85942,1.11488,0.05655,0.01,0.00536,0.00099,4.60104,3.86282,0.89155,0.00132043,0.00132043,0.00132043
23,43.6584,3.5946,5.58749,1.10406,0.04042,0.00667,0.00182,0.00041,4.20398,3.77751,0.86352,0.00130393,0.00130393,0.00130393
24,44.9893,3.33088,4.77044,1.08441,0.08511,0.02,0.00673,0.00101,4.05572,3.82783,0.85242,0.00128742,0.00128742,0.00128742
25,46.32,3.46335,5.35632,1.10525,0.07261,0.02,0.00703,0.00141,3.78401,3.90398,0.84445,0.00127092,0.00127092,0.00127092
26,47.6783,3.19902,4.81341,1.13131,0.05113,0.01,0.00363,0.00068,3.9452,3.96637,0.8426,0.00125442,0.00125442,0.00125442
27,49.035,3.45251,5.55662,1.05244,0.01779,0.00333,0.00142,0.00068,3.73533,3.8819,0.82889,0.00123791,0.00123791,0.00123791
28,50.4606,3.09252,4.67555,1.1708,0.04195,0.01,0.00157,0.00076,3.72195,3.64159,0.84289,0.00122141,0.00122141,0.00122141
29,51.7832,3.28972,5.01361,0.97858,0.02778,0.00667,0.00162,0.00068,3.85304,3.6109,0.87396,0.00120491,0.00120491,0.00120491
30,53.1116,3.16115,4.53465,1.1894,0.03879,0.00333,0.00039,0.00012,4.50854,4.51265,0.94015,0.0011884,0.0011884,0.0011884
31,54.465,3.22842,4.47977,0.96781,0.53035,0.00667,0.00213,0.00029,4.34439,3.78836,0.89857,0.0011719,0.0011719,0.0011719
32,55.8311,3.10325,4.74045,0.99566,0.56253,0.01,0.00787,0.00156,3.47888,2.88073,0.83944,0.0011554,0.0011554,0.0011554
33,57.1682,3.09357,4.77357,1.00899,0.09233,0.01333,0.00849,0.00146,3.62809,2.7725,0.82983,0.00113889,0.00113889,0.00113889
34,58.5664,3.31431,4.25901,1.06886,0.03241,0.00667,0.00113,0.00032,4.30822,3.11844,0.89117,0.00112239,0.00112239,0.00112239
35,59.9006,3.31162,4.75244,1.03117,0.00691,0.00333,0.00124,0.00035,4.47644,3.31565,0.89955,0.00110589,0.00110589,0.00110589
36,61.2628,3.57779,4.82556,1.09819,0.04262,0.01461,0.00649,0.00185,3.91789,2.82645,0.85729,0.00108938,0.00108938,0.00108938
37,62.5966,3.27871,4.33759,1.07292,0.0375,0.01333,0.00666,0.00158,3.8956,2.83142,0.85935,0.00107288,0.00107288,0.00107288
38,63.9396,3.33107,4.34477,1.04593,0.53875,0.01,0.0038,0.00085,4.19582,2.84083,0.86231,0.00105638,0.00105638,0.00105638
39,65.2949,3.4053,4.09448,0.96625,0.57372,0.01333,0.00541,0.00096,3.99239,2.80156,0.85339,0.00103987,0.00103987,0.00103987
40,66.6405,3.2189,3.81178,1.06002,0.5716,0.02333,0.01256,0.00229,3.7879,2.79046,0.84509,0.00102337,0.00102337,0.00102337
41,67.97,3.33488,4.35694,1.09304,0.5747,0.02333,0.01294,0.00186,3.86715,2.75478,0.85192,0.00100687,0.00100687,0.00100687
42,69.34,3.18467,3.79307,1.0669,0.05937,0.02,0.00707,0.00092,3.99589,2.50475,0.84247,0.000990365,0.000990365,0.000990365
43,70.6868,2.96715,3.96375,0.88187,0.02006,0.00667,0.00369,0.00064,4.21508,2.57418,0.85813,0.000973861,0.000973861,0.000973861
44,72.1149,2.866,3.72485,1.02726,0.05025,0.02,0.00497,0.00087,3.96237,2.71769,0.85309,0.000957358,0.000957358,0.000957358
45,73.4723,3.48833,3.90943,1.19798,0.05113,0.02333,0.00618,0.00114,3.79994,2.82575,0.84999,0.000940855,0.000940855,0.000940855
46,74.8145,3.1402,3.95604,1.0085,0.04819,0.02333,0.00688,0.00199,3.58486,2.73529,0.8506,0.000924352,0.000924352,0.000924352
47,76.1695,3.13608,4.01032,1.02272,0.03971,0.01667,0.00561,0.00198,3.7563,2.66384,0.86398,0.000907848,0.000907848,0.000907848
48,77.5456,2.89866,3.60523,1.00053,0.04389,0.04513,0.00424,0.00126,4.14561,2.79624,0.89043,0.000891345,0.000891345,0.000891345
49,78.8984,3.11726,3.64163,1.02343,0.05125,0.04513,0.0052,0.00189,4.10384,2.70877,0.88144,0.000874842,0.000874842,0.000874842
50,80.2399,3.06197,3.67094,1.13333,0.10005,0.05513,0.01509,0.00478,3.54578,2.47868,0.85785,0.000858338,0.000858338,0.000858338
51,81.6064,2.9559,3.11257,1.16303,0.11198,0.05792,0.0174,0.00647,3.51156,2.51505,0.85755,0.000841835,0.000841835,0.000841835
52,82.971,3.10701,3.47223,1.0198,0.04405,0.01667,0.01007,0.00299,3.98087,2.75747,0.88371,0.000825332,0.000825332,0.000825332
53,84.3085,2.94799,3.87523,1.02686,0.03482,0.01333,0.00625,0.00208,4.15698,2.70622,0.89685,0.000808828,0.000808828,0.000808828
54,85.7472,3.30223,3.46228,1.03081,0.03947,0.01333,0.00867,0.00262,3.97952,2.31223,0.89622,0.000792325,0.000792325,0.000792325
55,87.2314,2.75459,3.80575,0.85082,0.07613,0.02516,0.01454,0.00329,3.75807,2.13271,0.87676,0.000775822,0.000775822,0.000775822
56,88.731,2.47759,3.3676,0.9176,0.07094,0.02333,0.01203,0.00291,3.73624,2.05735,0.852,0.000759318,0.000759318,0.000759318
57,90.1999,3.00741,3.41864,1.04926,0.096,0.03,0.01336,0.00305,3.59012,2.04937,0.84179,0.000742815,0.000742815,0.000742815
58,91.6849,3.13887,3.82387,1.04351,0.07211,0.02333,0.0078,0.00146,3.6608,2.20547,0.84393,0.000726312,0.000726312,0.000726312
59,93.2111,2.97245,3.38112,1.07327,0.06166,0.02333,0.01022,0.00177,3.68708,2.32125,0.85322,0.000709809,0.000709809,0.000709809
60,94.7065,3.00646,3.06422,0.94714,0.07925,0.03333,0.0156,0.00259,3.75643,2.36705,0.85624,0.000693305,0.000693305,0.000693305
61,96.1858,2.84366,3.03034,1.00713,0.06525,0.03,0.01161,0.00279,3.83556,2.36677,0.86389,0.000676802,0.000676802,0.000676802
62,97.7037,3.48754,4.02781,0.92564,0.03953,0.01667,0.00965,0.00207,4.02928,2.43201,0.87242,0.000660299,0.000660299,0.000660299
63,99.2076,2.95704,3.35754,0.88927,0.04474,0.01667,0.00692,0.00133,3.81273,2.3453,0.8609,0.000643795,0.000643795,0.000643795
64,100.809,2.86004,2.85154,0.93181,0.03645,0.01333,0.00639,0.00186,3.66784,2.3025,0.85235,0.000627292,0.000627292,0.000627292
65,102.278,3.00283,2.94927,1.01181,0.04318,0.01545,0.00693,0.00183,3.60801,2.25938,0.84652,0.000610789,0.000610789,0.000610789
66,103.785,3.30118,3.33126,0.92429,0.05308,0.021,0.01287,0.00322,3.57745,2.25069,0.83692,0.000594286,0.000594286,0.000594286
67,105.273,2.95467,3.34487,1.00595,0.61071,0.01667,0.01422,0.00375,3.39112,2.11189,0.82443,0.000577782,0.000577782,0.000577782
68,106.742,2.97291,3.21204,1.03554,0.11157,0.01667,0.01394,0.00368,3.49825,2.10319,0.83208,0.000561279,0.000561279,0.000561279
69,108.264,2.92969,2.97956,0.98315,0.10058,0.01667,0.01143,0.00301,3.62617,2.15185,0.83888,0.000544776,0.000544776,0.000544776
70,109.742,2.9577,2.90048,0.92232,0.08333,0.01333,0.00803,0.00225,3.94899,2.25767,0.8614,0.000528272,0.000528272,0.000528272
71,111.215,3.14858,3.01693,0.95392,0.13383,0.01667,0.01612,0.00296,3.99206,2.25637,0.87292,0.000511769,0.000511769,0.000511769
72,112.692,3.00971,3.24307,1.03021,0.19703,0.01667,0.01625,0.00274,3.9757,2.28739,0.86435,0.000495266,0.000495266,0.000495266
73,114.144,2.89539,3.39908,0.84211,0.70542,0.01667,0.01579,0.00337,3.8971,2.29821,0.86139,0.000478762,0.000478762,0.000478762
74,115.717,3.04501,2.93452,0.88473,0.0646,0.02667,0.01849,0.00488,3.68442,2.25385,0.85443,0.000462259,0.000462259,0.000462259
75,117.203,2.70446,2.54244,0.99093,0.05617,0.02333,0.01605,0.00458,3.64071,2.23528,0.85536,0.000445756,0.000445756,0.000445756
76,118.68,3.14047,3.23304,0.96243,0.05701,0.02333,0.01669,0.00502,3.62526,2.23507,0.86114,0.000429253,0.000429253,0.000429253
77,120.151,2.85458,2.96595,0.90256,0.05675,0.02333,0.01729,0.00623,3.53753,2.1672,0.86138,0.000412749,0.000412749,0.000412749
78,121.658,2.8343,2.5713,1.02394,0.05384,0.02,0.01816,0.00568,3.56142,2.08478,0.86457,0.000396246,0.000396246,0.000396246
