epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.155,3.08794,16.9625,1.4086,0,0,0,0,4.2753,21.8913,0.91432,6.666e-05,6.666e-05,6.666e-05
2,15.5689,3.70007,13.9178,1.72651,0,0,0,0,3.14012,8.30836,0.93513,0.000143286,0.000143286,0.000143286
3,16.9898,3.65189,17.459,1.438,0,0,0,0,4.10543,7.58477,0.95077,0.00021868,0.00021868,0.00021868
4,18.3782,3.11382,11.3946,1.24544,0,0,0,0,4.22417,7.65054,0.90555,0.000292843,0.000292843,0.000292843
5,19.7793,2.92035,12.9386,1.23193,0,0,0,0,3.94752,7.64032,0.87973,0.000365773,0.000365773,0.000365773
6,21.184,3.15455,9.90565,1.19717,0,0,0,0,4.0602,7.82495,0.95507,0.000437472,0.000437472,0.000437472
7,22.6304,3.14547,9.2747,1.16159,0,0,0,0,3.82935,7.67838,0.96508,0.000507939,0.000507939,0.000507939
8,24.0181,3.42131,12.0969,1.46175,0,0,0,0,3.84226,7.67819,0.95284,0.000577173,0.000577173,0.000577173
9,25.4025,3.15927,9.39097,1.34598,0,0,0,0,3.88282,7.83539,0.98306,0.000645176,0.000645176,0.000645176
10,26.8133,3.51096,9.82243,1.26221,0,0,0,0,4.14717,7.21074,0.97327,0.000711947,0.000711947,0.000711947
11,28.2697,3.5297,7.72067,1.24637,0.00442,0.00595,0.00233,0.00023,4.4148,7.0888,1.00449,0.000777487,0.000777487,0.000777487
12,29.6895,3.22663,8.17471,1.20833,0.00605,0.00893,0.00374,0.00114,4.36726,6.46358,0.98317,0.000841794,0.000841794,0.000841794
13,31.0419,3.94645,9.68754,1.47665,0.00631,0.01488,0.00472,0.00149,4.06596,6.03245,0.96555,0.00090487,0.00090487,0.00090487
14,32.4315,3.43509,9.07638,1.1652,0.00443,0.01488,0.00292,0.00066,4.21699,5.88469,1.01139,0.000966713,0.000966713,0.000966713
15,33.8145,3.27426,8.88365,1.12269,0.00347,0.0119,0.00265,0.00032,4.54297,5.93692,1.0865,0.000987812,0.000987812,0.000987812
16,35.1844,3.19449,7.29812,1.15613,0.00932,0.02381,0.00758,0.00128,3.87406,5.32653,0.96054,0.000979013,0.000979013,0.000979013
17,36.5438,3.69514,8.23183,1.20275,0.00844,0.05655,0.01406,0.00223,3.61401,4.89854,0.92009,0.000970214,0.000970214,0.000970214
18,37.9305,3.13196,7.14464,1.07535,0.00782,0.0625,0.00793,0.00239,3.54738,4.52347,0.89593,0.000961415,0.000961415,0.000961415
19,39.3472,3.23446,8.63244,0.99286,0.08031,0.04762,0.01154,0.00292,3.56014,4.37132,0.90275,0.000952616,0.000952616,0.000952616
20,40.7474,3.88746,7.89894,1.13568,0.03531,0.00893,0.00321,0.00066,4.02931,7.59776,0.98476,0.000943817,0.000943817,0.000943817
21,42.1038,3.58966,7.09903,1.23497,0.02213,0.00595,0.00234,0.00057,4.09304,6.87687,1.00867,0.000935018,0.000935018,0.000935018
22,43.4881,3.85781,7.49778,1.41714,0.04116,0.0119,0.00324,0.00102,3.88066,4.59783,0.97135,0.000926218,0.000926218,0.000926218
23,44.8661,3.78245,6.69485,1.29553,0.03775,0.00893,0.00415,0.0011,3.70697,3.29069,0.94715,0.000917419,0.000917419,0.000917419
