epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7918,1.35074,150.907,0.60769,0,0,0,0,1.46031,104.705,0.45339,0.000545744,0.000545744,0.000545744
2,31.5722,1.44453,126.119,0.56678,0,0,0,0,1.54444,86.9152,0.4804,0.00109414,0.00109414,0.00109414
3,41.5299,1.36853,105.428,0.58307,0,0,0,0,1.47477,67.0916,0.50568,0.0016352,0.0016352,0.0016352
4,51.3586,1.34471,92.0663,0.62126,0,0,0,0,1.23543,52.5984,0.46605,0.00163399,0.00163399,0.00163399
5,61.0106,1.40047,81.5295,0.52807,0,0,0,0,1.59193,48.4684,0.53562,0.00162299,0.00162299,0.00162299
6,70.8461,1.45691,70.1905,0.60849,0,0,0,0,1.40428,40.8909,0.47449,0.00161199,0.00161199,0.00161199
7,80.5644,1.44093,60.2415,0.58306,0,0,0,0,1.72229,30.3939,0.57974,0.00160099,0.00160099,0.00160099
8,90.3518,1.20358,55.0784,0.50484,0,0,0,0,1.81162,8.06983,0.58165,0.00158998,0.00158998,0.00158998
9,100.052,1.38668,46.1318,0.53697,0,0,0,0,1.96642,2.72979,0.61404,0.00157898,0.00157898,0.00157898
10,109.848,1.73867,39.157,0.63314,0,0,0,0,2.22589,2.223,0.69662,0.00156798,0.00156798,0.00156798
11,119.623,1.71386,33.2225,0.67105,0,0,0,0,2.05373,2.00748,0.63824,0.00155698,0.00155698,0.00155698
12,129.435,1.63104,28.4355,0.63744,0,0,0,0,1.53752,1.6282,0.56215,0.00154598,0.00154598,0.00154598
13,139.271,1.5206,23.0098,0.628,0,0,0,0,1.60315,1.75693,0.61193,0.00153497,0.00153497,0.00153497
14,149.054,1.61061,19.2775,0.71048,0,0,0,0,1.55936,1.7149,0.57717,0.00152397,0.00152397,0.00152397
15,158.738,1.67042,16.9371,0.67889,0,0,0,0,1.5958,1.76844,0.56133,0.00151297,0.00151297,0.00151297
16,168.465,1.33476,13.774,0.56083,0,0,0,0,1.85374,1.84127,0.63228,0.00150197,0.00150197,0.00150197
17,178.207,1.3556,11.9192,0.50915,0,0,0,0,1.89579,1.92867,0.6094,0.00149096,0.00149096,0.00149096
18,188.056,1.7349,10.9418,0.64179,0,0,0,0,1.83136,1.94401,0.60135,0.00147996,0.00147996,0.00147996
19,197.836,1.61205,8.87091,0.60026,0,0,0,0,1.57919,1.84362,0.55029,0.00146896,0.00146896,0.00146896
20,207.624,1.49374,7.49017,0.58993,0,0,0,0,1.68513,1.89549,0.59444,0.00145796,0.00145796,0.00145796
21,217.371,1.38189,6.57909,0.5441,0,0,0,0,1.55338,1.76831,0.57189,0.00144696,0.00144696,0.00144696
22,227.174,1.36049,5.61378,0.54948,0,0,0,0,1.54901,1.67566,0.65446,0.00143595,0.00143595,0.00143595
23,237,1.46637,4.98059,0.59339,0,0,0,0,1.60617,1.68883,0.57067,0.00142495,0.00142495,0.00142495
24,247.054,1.71228,4.61398,0.66467,0,0,0,0,1.63904,1.76505,0.55842,0.00141395,0.00141395,0.00141395
25,256.912,1.59702,4.13136,0.58777,0,0,0,0,1.9492,2.04296,0.6356,0.00140295,0.00140295,0.00140295
26,266.8,1.51767,3.68353,0.56888,0,0,0,0,1.9481,2.06887,0.59741,0.00139195,0.00139195,0.00139195
27,276.624,1.43192,3.5392,0.53554,0,0,0,0,2.11269,2.2303,0.63275,0.00138094,0.00138094,0.00138094
28,286.467,1.56891,3.54554,0.6271,0,0,0,0,1.60417,1.84567,0.56234,0.00136994,0.00136994,0.00136994
29,296.404,1.69107,3.56954,0.65749,0,0,0,0,1.51917,1.85037,0.54753,0.00135894,0.00135894,0.00135894
30,306.195,1.51667,3.30121,0.67133,0,0,0,0,1.54727,1.79801,0.56743,0.00134794,0.00134794,0.00134794
31,316.051,1.62905,3.27055,0.73345,0,0,0,0,1.77455,1.84172,0.61045,0.00133693,0.00133693,0.00133693
32,325.936,1.6617,3.33806,0.65426,0,0,0,0,1.94677,2.22359,0.6263,0.00132593,0.00132593,0.00132593
33,335.714,1.45535,2.96122,0.54413,0,0,0,0,1.92147,1.8376,0.62296,0.00131493,0.00131493,0.00131493
34,345.557,1.68134,3.05037,0.60604,0,0,0,0,1.92538,1.87616,0.61389,0.00130393,0.00130393,0.00130393
35,355.376,1.60265,2.79548,0.56289,0,0,0,0,1.969,2.3213,0.60889,0.00129293,0.00129293,0.00129293
36,365.185,1.62366,2.86691,0.59906,0,0,0,0,2.142,2.60856,0.62232,0.00128192,0.00128192,0.00128192
37,374.914,1.63921,2.78366,0.68373,0,0,0,0,2.02777,2.37705,0.6534,0.00127092,0.00127092,0.00127092
38,384.71,1.80971,3.0716,0.71539,0,0,0,0,2.13745,2.17567,0.67987,0.00125992,0.00125992,0.00125992
39,394.482,1.77642,2.97236,0.65355,0,0,0,0,1.89976,2.12318,0.62853,0.00124892,0.00124892,0.00124892
40,404.219,1.59561,2.82907,0.58139,0,0,0,0,1.97804,2.16656,0.6472,0.00123791,0.00123791,0.00123791
41,414.233,1.59607,2.7775,0.60822,0,0,0,0,1.87959,2.00361,0.6252,0.00122691,0.00122691,0.00122691
42,423.967,1.45381,2.67054,0.59015,0,0,0,0,2.01827,2.12024,0.65864,0.00121591,0.00121591,0.00121591
43,433.761,1.74659,2.81938,0.63255,0,0,0,0,1.98657,2.26971,0.60861,0.00120491,0.00120491,0.00120491
