epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7726,0.84693,131.277,0.57653,0,0,0,0,0.62016,167.988,0.3933,0.000550705,0.000550705,0.000550705
2,45.3294,0.6813,102.462,0.4781,0,0,0,0,0.55231,48.3586,0.39039,0.00109907,0.00109907,0.00109907
3,61.8331,0.77281,89.3889,0.56199,0,0,0,0,0.78095,57.794,0.49776,0.0016401,0.0016401,0.0016401
4,78.293,0.96408,80.6106,0.67105,0,0,0,0,1.21003,26.2671,0.64383,0.00163399,0.00163399,0.00163399
5,94.5678,0.93502,72.0673,0.58572,0,0,0,0,1.69487,26.168,0.81148,0.00162299,0.00162299,0.00162299
6,110.906,1.14435,66.9591,0.65207,0,0,0,0,1.80244,inf,0.83149,0.00161199,0.00161199,0.00161199
7,127.279,1.42399,59.9895,0.78253,0,0,0,0,1.69261,24.9908,0.78126,0.00160099,0.00160099,0.00160099
8,143.598,1.26923,55.2122,0.67712,0,0,0,0,1.86706,25.9056,0.87562,0.00158998,0.00158998,0.00158998
9,159.929,1.11132,50.612,0.66213,0,0,0,0,1.39328,16.2455,0.74678,0.00157898,0.00157898,0.00157898
10,176.288,1.26854,44.8417,0.74738,0,0,0,0,1.84954,23.6689,0.84741,0.00156798,0.00156798,0.00156798
11,192.62,1.25946,40.4663,0.66321,0,0,0,0,1.59112,15.7498,0.801,0.00155698,0.00155698,0.00155698
12,208.917,1.19874,36.1279,0.71716,0,0,0,0,1.60444,5.07448,0.81054,0.00154598,0.00154598,0.00154598
13,225.231,1.15962,31.7016,0.67364,0,0,0,0,1.64767,1.93597,0.81602,0.00153497,0.00153497,0.00153497
14,241.608,1.26711,29.4594,0.67363,0,0,0,0,1.81297,2.21553,0.99172,0.00152397,0.00152397,0.00152397
15,257.966,1.235,26.3942,0.7048,0,0,0,0,1.50269,25.8848,0.75837,0.00151297,0.00151297,0.00151297
16,274.306,1.07626,23.5363,0.59556,0,0,0,0,1.4442,1.80447,0.7555,0.00150197,0.00150197,0.00150197
17,290.724,1.10015,21.3464,0.59194,0,0,0,0,1.77849,1.9268,0.8092,0.00149096,0.00149096,0.00149096
18,307.096,1.24041,19.2241,0.65402,0,0,0,0,1.65454,2.01624,0.80731,0.00147996,0.00147996,0.00147996
19,323.697,1.39069,17.0877,0.714,0,0,0,0,1.73133,2.08157,0.82122,0.00146896,0.00146896,0.00146896
20,340.137,1.37339,15.0006,0.72725,0,0,0,0,1.81426,2.07225,0.79542,0.00145796,0.00145796,0.00145796
21,356.432,1.3323,13.2729,0.70998,0,0,0,0,1.90714,2.28871,0.81109,0.00144696,0.00144696,0.00144696
22,372.817,1.45482,12.0274,0.73108,0,0,0,0,1.86956,2.38144,0.80688,0.00143595,0.00143595,0.00143595
