epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0996,1.34768,150.965,0.58942,0,0,0,0,1.78475,94.8039,0.6647,0.000545744,0.000545744,0.000545744
2,39.9468,1.53375,112.509,0.57359,0,0,0,0,1.59206,66.3623,0.48694,0.00109414,0.00109414,0.00109414
3,52.5648,1.76297,99.9554,0.59991,0,0,0,0,1.1333,inf,0.40471,0.0016352,0.0016352,0.0016352
4,66.1922,1.75137,85.0298,0.66192,0,0,0,0,1.14123,inf,0.39627,0.00163399,0.00163399,0.00163399
5,79.8947,1.9254,71.8512,0.78228,0,0,0,0,0.83749,3650.61,0.30913,0.00162299,0.00162299,0.00162299
6,94.1937,1.65653,71.21,0.57486,0,0,0,0,1.7236,49.801,0.55822,0.00161199,0.00161199,0.00161199
7,106.33,2.06339,58.883,0.7445,0,0,0,0,2.14253,28.762,0.56477,0.00160099,0.00160099,0.00160099
8,118.422,1.93896,54.0272,0.61873,0,0,0,0,2.00635,4.43284,0.55027,0.00158998,0.00158998,0.00158998
9,130.7,2.10046,45.2843,0.70601,0,0,0,0,1.78291,nan,0.56371,0.00157898,0.00157898,0.00157898
10,142.985,1.88961,40.9359,0.66259,0,0,0,0,1.41334,106.938,0.50363,0.00156798,0.00156798,0.00156798
11,155.509,1.5601,35.4884,0.61112,0,0,0,0,1.55301,7.8791,0.53159,0.00155698,0.00155698,0.00155698
12,169.611,1.57444,29.115,0.58055,0,0,0,0,1.25033,1.3824,0.50183,0.00154598,0.00154598,0.00154598
13,184.082,1.98064,24.3623,0.73129,0,0,0,0,1.7868,88.3108,0.56297,0.00153497,0.00153497,0.00153497
14,196.514,1.74221,20.4684,0.63932,0,0,0,0,1.76356,272.009,0.60137,0.00152397,0.00152397,0.00152397
15,209.156,1.91281,17.6845,0.70148,0,0,0,0,1.87359,nan,0.8234,0.00151297,0.00151297,0.00151297
16,224.7,1.74798,14.4896,0.63449,0,0,0,0,1.85911,1218.61,0.62524,0.00150197,0.00150197,0.00150197
17,236.778,2.19109,12.3158,0.79096,0,0,0,0,1.97302,363.189,0.61124,0.00149096,0.00149096,0.00149096
18,249,2.08135,10.8833,0.74675,0,0,0,0,1.8015,13.6485,0.54075,0.00147996,0.00147996,0.00147996
19,262.152,2.0438,9.46548,0.71991,0,0,0,0,1.96613,nan,0.65439,0.00146896,0.00146896,0.00146896
20,276.836,1.9646,7.99557,0.7063,0,0,0,0,1.85916,2.06434,0.6046,0.00145796,0.00145796,0.00145796
21,290.31,1.71563,7.1547,0.58562,0,0,0,0,1.81942,2.06086,0.54068,0.00144696,0.00144696,0.00144696
22,303.459,2.25308,6.60816,0.71402,0,0,0,0,1.8441,2.13886,0.58111,0.00143595,0.00143595,0.00143595
23,316.744,2.25086,6.19829,0.7832,0,0,0,0,1.85918,2.18777,0.61474,0.00142495,0.00142495,0.00142495
24,330.123,2.40912,5.82715,0.83406,0,0,0,0,2.10307,2.25504,0.61888,0.00141395,0.00141395,0.00141395
25,342.115,1.72638,4.84548,0.60687,0,0,0,0,2.01179,2.22582,0.62912,0.00140295,0.00140295,0.00140295
26,354.619,1.46443,4.14335,0.52751,0,0,0,0,1.96717,2.20468,0.62436,0.00139195,0.00139195,0.00139195
27,367.348,2.18735,4.89233,0.75331,0,0,0,0,1.88166,2.01445,0.5554,0.00138094,0.00138094,0.00138094
28,379.267,1.9649,4.4724,0.69537,0,0,0,0,1.67978,1.79265,0.51018,0.00136994,0.00136994,0.00136994
29,391.293,2.09962,4.48199,0.77199,0,0,0,0,1.85251,1.83051,0.54609,0.00135894,0.00135894,0.00135894
30,404.639,1.94345,4.04554,0.7117,0,0,0,0,1.71001,1.95043,0.51351,0.00134794,0.00134794,0.00134794
31,421.034,2.308,4.33361,0.85857,0,0,0,0,1.8881,2.00996,0.55115,0.00133693,0.00133693,0.00133693
32,437.138,2.24367,3.98456,0.78025,0,0,0,0,1.73063,1.91211,0.52204,0.00132593,0.00132593,0.00132593
33,453.869,2.37266,3.96037,0.81845,0,0,0,0,2.04263,2.02175,0.58842,0.00131493,0.00131493,0.00131493
34,470.513,2.33916,3.97391,0.83284,0,0,0,0,2.02288,2.01059,0.57918,0.00130393,0.00130393,0.00130393
