epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0988,2.57875,18.1607,1.76062,0.00022,0.09291,0.00015,3e-05,3.16298,8.76836,2.09096,0.00332196,0.00332196,0.00332196
2,139.183,2.77023,8.15007,1.78968,0.00532,0.20101,0.01392,0.00387,3.24744,4.07124,1.9166,0.00661137,0.00661137,0.00661137
3,202.135,3.23571,5.5567,2.1376,0.00391,0.03547,0.00276,0.00071,3.66399,4.88794,2.71951,0.00985677,0.00985677,0.00985677
4,264.832,3.34832,5.13349,2.20408,0.62398,0.01282,0.02674,0.00875,3.6556,4.56706,2.5302,0.009802,0.009802,0.009802
5,327.817,3.22898,4.77309,2.17904,0.08278,0.08277,0.02522,0.00857,3.39053,4.67625,2.10258,0.009736,0.009736,0.009736
6,391.317,3.06636,4.17983,2.11863,0.20428,0.13851,0.08817,0.02572,3.12778,3.09525,1.94524,0.00967,0.00967,0.00967
7,454.097,2.90536,3.75472,2.02762,0.17454,0.12669,0.07788,0.02635,2.86715,3.2991,1.7845,0.009604,0.009604,0.009604
8,516.468,2.78043,3.47558,1.9258,0.19378,0.18581,0.09089,0.031,2.87301,3.35238,1.81413,0.009538,0.009538,0.009538
9,578.971,2.66934,3.15086,1.83571,0.28773,0.18243,0.12523,0.04693,2.75825,2.98174,1.69782,0.009472,0.009472,0.009472
10,641.468,2.59294,3.08696,1.79882,0.20117,0.26014,0.13863,0.04694,2.79305,3.24349,1.74654,0.009406,0.009406,0.009406
11,704,2.49742,2.8456,1.6986,0.2799,0.20001,0.16509,0.0545,2.7423,2.92076,1.74896,0.00934,0.00934,0.00934
12,766.588,2.45447,2.8658,1.68086,0.23449,0.26689,0.15267,0.05633,2.71917,2.99735,1.74314,0.009274,0.009274,0.009274
13,829.129,2.4221,2.73319,1.66408,0.25178,0.22466,0.18492,0.06975,2.70258,2.72442,1.68317,0.009208,0.009208,0.009208
14,891.682,2.39848,2.66686,1.66231,0.46853,0.20101,0.20946,0.07518,2.64482,2.58392,1.69603,0.009142,0.009142,0.009142
15,954.177,2.33667,2.60685,1.63464,0.39179,0.27365,0.2575,0.09496,2.70188,2.46547,1.82353,0.009076,0.009076,0.009076
16,1016.64,2.23895,2.50078,1.55755,0.36853,0.28442,0.26488,0.10032,2.63309,2.33614,1.63846,0.00901,0.00901,0.00901
17,1079.09,2.27887,2.45135,1.57535,0.38021,0.27196,0.25844,0.10464,2.56452,2.35485,1.68455,0.008944,0.008944,0.008944
18,1141.7,2.19153,2.32887,1.53827,0.36375,0.33784,0.24293,0.09287,2.60405,2.59311,1.64452,0.008878,0.008878,0.008878
19,1204.33,2.14932,2.29304,1.49703,0.5189,0.29054,0.28339,0.11309,2.56073,2.38507,1.62256,0.008812,0.008812,0.008812
20,1267.06,2.15736,2.25846,1.50215,0.43291,0.29392,0.26687,0.11504,2.47704,2.44044,1.63877,0.008746,0.008746,0.008746
21,1329.83,2.13713,2.21318,1.49745,0.60557,0.27359,0.3104,0.12432,2.49281,2.39457,1.59972,0.00868,0.00868,0.00868
22,1392.55,2.10473,2.20575,1.49257,0.50884,0.24662,0.27352,0.11749,2.68985,2.33185,1.62476,0.008614,0.008614,0.008614
23,1455.12,2.11065,2.17468,1.47964,0.46893,0.29899,0.27351,0.10863,2.43671,2.44508,1.6143,0.008548,0.008548,0.008548
24,1517.79,2.07038,2.08805,1.43654,0.44596,0.34797,0.32468,0.12641,2.48802,2.40422,1.62327,0.008482,0.008482,0.008482
25,1580.75,2.04523,2.07901,1.43271,0.39397,0.32291,0.31264,0.12625,2.53479,2.17418,1.56783,0.008416,0.008416,0.008416
26,1643.34,2.06081,2.04807,1.43821,0.46523,0.38682,0.35069,0.12644,2.45109,2.16475,1.53451,0.00835,0.00835,0.00835
27,1705.92,2.04266,2.03099,1.4193,0.53092,0.29639,0.31331,0.12875,2.48029,2.25184,1.62914,0.008284,0.008284,0.008284
28,1768.47,1.9677,1.98899,1.41268,0.49108,0.29223,0.31289,0.12297,2.48299,2.35431,1.65561,0.008218,0.008218,0.008218
29,1830.98,1.97763,1.89551,1.39327,0.44785,0.33935,0.27947,0.11348,2.51333,2.64607,1.59955,0.008152,0.008152,0.008152
30,1893.36,1.98276,1.92318,1.39106,0.54276,0.34966,0.34256,0.13289,2.47893,2.15857,1.57103,0.008086,0.008086,0.008086
31,1955.81,1.9676,1.86687,1.39729,0.48518,0.28885,0.32696,0.13228,2.52697,2.48133,1.60408,0.00802,0.00802,0.00802
32,2018.32,1.94368,1.83656,1.36955,0.64505,0.32095,0.37546,0.1567,2.43254,2.18875,1.60961,0.007954,0.007954,0.007954
33,2080.72,1.95447,1.8232,1.38184,0.46145,0.39696,0.36216,0.14389,2.39126,2.11781,1.63479,0.007888,0.007888,0.007888
34,2143.28,1.91455,1.77835,1.36153,0.53398,0.32674,0.34554,0.13687,2.39095,2.19001,1.55338,0.007822,0.007822,0.007822
35,2205.91,1.91592,1.76639,1.34847,0.48278,0.37669,0.3108,0.13245,2.49966,2.13703,1.59606,0.007756,0.007756,0.007756
36,2268.33,1.90198,1.76547,1.33846,0.4914,0.33394,0.35656,0.15076,2.35212,2.25323,1.48731,0.00769,0.00769,0.00769
37,2330.89,1.89201,1.71781,1.32688,0.64027,0.31385,0.3448,0.15451,2.46001,2.32842,1.56469,0.007624,0.007624,0.007624
38,2393.41,1.88671,1.73995,1.32969,0.64588,0.29045,0.35936,0.15882,2.50518,2.08878,1.62762,0.007558,0.007558,0.007558
39,2455.96,1.89023,1.68386,1.31383,0.45859,0.39358,0.34583,0.13758,2.48497,2.1839,1.58643,0.007492,0.007492,0.007492
40,2518.6,1.85046,1.6546,1.30948,0.59803,0.33784,0.37156,0.15276,2.52538,2.22801,1.63717,0.007426,0.007426,0.007426
41,2581.66,1.87771,1.65494,1.31553,0.44412,0.44088,0.36533,0.14422,2.47966,2.13989,1.55461,0.00736,0.00736,0.00736
42,2644.73,1.83626,1.60859,1.29612,0.47367,0.34557,0.34713,0.14805,2.42975,2.28095,1.5524,0.007294,0.007294,0.007294
43,2707.17,1.80729,1.56878,1.28569,0.54136,0.38345,0.35387,0.13752,2.39908,2.28378,1.53492,0.007228,0.007228,0.007228
44,2769.54,1.85811,1.61768,1.30678,0.52301,0.38514,0.34326,0.13474,2.59107,2.20362,1.63394,0.007162,0.007162,0.007162
45,2832.15,1.8081,1.56155,1.28662,0.4483,0.40878,0.32333,0.1293,2.46012,2.30496,1.54226,0.007096,0.007096,0.007096
46,2894.66,1.8133,1.53987,1.27267,0.57145,0.40203,0.36193,0.14364,2.50101,2.24714,1.56407,0.00703,0.00703,0.00703
47,2957.23,1.78905,1.53044,1.26801,0.66814,0.34966,0.38305,0.14335,2.57673,2.08973,1.64683,0.006964,0.006964,0.006964
48,3019.9,1.80527,1.51037,1.26811,0.66116,0.34771,0.37535,0.15122,2.50338,2.1486,1.59277,0.006898,0.006898,0.006898
49,3082.8,1.74826,1.49446,1.24246,0.51374,0.37162,0.36955,0.1388,2.46012,2.04759,1.6062,0.006832,0.006832,0.006832
50,3145.34,1.74858,1.47614,1.26055,0.56113,0.39527,0.41016,0.16538,2.42574,1.97235,1.55031,0.006766,0.006766,0.006766
51,3207.97,1.76246,1.46628,1.26704,0.65177,0.34721,0.37118,0.15368,2.45578,2.12028,1.56422,0.0067,0.0067,0.0067
52,3270.33,1.7418,1.46469,1.24574,0.63415,0.40878,0.36995,0.13929,2.49259,2.07621,1.54646,0.006634,0.006634,0.006634
53,3332.68,1.70526,1.41602,1.2336,0.66711,0.36993,0.37494,0.14717,2.50853,2.11987,1.6087,0.006568,0.006568,0.006568
54,3395.12,1.75578,1.43752,1.23804,0.5743,0.37331,0.38359,0.14893,2.52596,2.05856,1.56218,0.006502,0.006502,0.006502
55,3457.56,1.73188,1.42097,1.23272,0.66151,0.37646,0.4191,0.15825,2.45193,2.11404,1.56844,0.006436,0.006436,0.006436
56,3520.08,1.72085,1.40374,1.22963,0.58698,0.42752,0.40935,0.1565,2.49169,2.00572,1.65295,0.00637,0.00637,0.00637
57,3582.5,1.74037,1.42744,1.23224,0.64125,0.4223,0.40112,0.15783,2.4649,2.03771,1.48996,0.006304,0.006304,0.006304
58,3644.89,1.67667,1.34729,1.20282,0.6623,0.32729,0.35634,0.1475,2.36257,2.26067,1.45083,0.006238,0.006238,0.006238
59,3707.26,1.68857,1.33841,1.2092,0.53909,0.40372,0.393,0.15526,2.43958,2.11969,1.54083,0.006172,0.006172,0.006172
60,3769.79,1.67369,1.33677,1.20596,0.70619,0.37162,0.39545,0.1629,2.48377,2.10204,1.57055,0.006106,0.006106,0.006106
61,3832.44,1.6652,1.32467,1.19353,0.61552,0.36318,0.39414,0.16092,2.49228,2.12488,1.52351,0.00604,0.00604,0.00604
62,3895.05,1.68295,1.34073,1.20945,0.53331,0.42905,0.37323,0.14118,2.50201,2.18692,1.54005,0.005974,0.005974,0.005974
63,3957.48,1.66848,1.28034,1.20765,0.67697,0.39915,0.40687,0.14978,2.47421,2.17375,1.53956,0.005908,0.005908,0.005908
64,4019.86,1.66453,1.33316,1.20416,0.68928,0.3598,0.40608,0.14406,2.45288,2.10986,1.58788,0.005842,0.005842,0.005842
65,4082.22,1.64512,1.27056,1.19246,0.54265,0.4375,0.40854,0.15429,2.52719,2.18304,1.50407,0.005776,0.005776,0.005776
66,4144.62,1.6372,1.26134,1.18839,0.61473,0.40203,0.41521,0.16551,2.43665,2.16632,1.51127,0.00571,0.00571,0.00571
67,4207.01,1.66926,1.29963,1.20209,0.64526,0.36486,0.39115,0.16331,2.42959,2.17423,1.51209,0.005644,0.005644,0.005644
68,4269.57,1.59623,1.27213,1.18078,0.59895,0.3619,0.37695,0.13484,2.51147,2.10841,1.56479,0.005578,0.005578,0.005578
69,4331.97,1.6235,1.28019,1.18204,0.5195,0.42061,0.39603,0.14027,2.48814,2.21686,1.55552,0.005512,0.005512,0.005512
70,4394.34,1.62756,1.26048,1.18166,0.64586,0.36655,0.38735,0.15869,2.41936,2.13278,1.53025,0.005446,0.005446,0.005446
71,4456.71,1.6144,1.24716,1.16837,0.66291,0.39527,0.4065,0.16096,2.54355,2.14882,1.6062,0.00538,0.00538,0.00538
72,4519.11,1.57515,1.21069,1.14675,0.61075,0.37812,0.38897,0.15831,2.44321,2.04772,1.53372,0.005314,0.005314,0.005314
73,4581.48,1.58207,1.24029,1.16181,0.75936,0.35304,0.41663,0.15863,2.47778,2.11624,1.53643,0.005248,0.005248,0.005248
74,4643.87,1.58311,1.21862,1.16998,0.54194,0.41047,0.3898,0.14593,2.43557,2.04272,1.50818,0.005182,0.005182,0.005182
75,4706.25,1.55858,1.2115,1.15237,0.62358,0.39865,0.38881,0.1561,2.46071,2.10239,1.50982,0.005116,0.005116,0.005116
76,4768.63,1.56721,1.18237,1.1505,0.63351,0.39696,0.40224,0.15499,2.51152,2.15294,1.55256,0.00505,0.00505,0.00505
77,4831,1.5224,1.1248,1.1475,0.6591,0.45946,0.44056,0.17543,2.46184,2.19251,1.49743,0.004984,0.004984,0.004984
78,4893.38,1.57087,1.19691,1.15085,0.65542,0.44595,0.43777,0.17489,2.4373,2.13611,1.49798,0.004918,0.004918,0.004918
79,4955.86,1.52763,1.14406,1.12717,0.63489,0.40878,0.39474,0.15462,2.46693,2.06313,1.55363,0.004852,0.004852,0.004852
80,5018.25,1.55299,1.17896,1.14755,0.66459,0.40967,0.41097,0.15795,2.37839,2.05322,1.53399,0.004786,0.004786,0.004786
81,5080.83,1.55607,1.17042,1.13551,0.66454,0.41216,0.43692,0.16844,2.44475,2.02949,1.52528,0.00472,0.00472,0.00472
82,5143.33,1.56086,1.20329,1.13869,0.64204,0.3869,0.40306,0.15216,2.5031,2.19499,1.54278,0.004654,0.004654,0.004654
83,5205.68,1.53909,1.14239,1.12658,0.62617,0.39696,0.40735,0.1565,2.41091,2.12835,1.49876,0.004588,0.004588,0.004588
84,5268.08,1.53669,1.14319,1.12442,0.67522,0.42736,0.42296,0.15708,2.38874,2.15643,1.50549,0.004522,0.004522,0.004522
85,5330.46,1.53108,1.15722,1.12691,0.73185,0.41216,0.43208,0.17076,2.40731,2.05716,1.51631,0.004456,0.004456,0.004456
86,5392.84,1.53623,1.14795,1.13031,0.62786,0.35109,0.37824,0.15686,2.44628,2.13879,1.52089,0.00439,0.00439,0.00439
87,5455.22,1.52846,1.14136,1.12688,0.66223,0.37152,0.41109,0.16064,2.52741,2.08761,1.53943,0.004324,0.004324,0.004324
88,5517.59,1.51568,1.10154,1.12425,0.72161,0.36824,0.39829,0.15564,2.50687,2.04998,1.52594,0.004258,0.004258,0.004258
89,5580.46,1.52627,1.11134,1.12357,0.74828,0.38345,0.42253,0.15597,2.47295,2.14914,1.52524,0.004192,0.004192,0.004192
90,5643.47,1.50381,1.09268,1.11238,0.69133,0.43243,0.45718,0.16344,2.39228,2.11222,1.471,0.004126,0.004126,0.004126
91,5706.37,1.48633,1.07989,1.11139,0.77897,0.38458,0.44793,0.17656,2.41042,2.14849,1.47945,0.00406,0.00406,0.00406
92,5768.96,1.49481,1.08058,1.10089,0.67236,0.39522,0.4025,0.16299,2.4163,2.19058,1.51513,0.003994,0.003994,0.003994
93,5832.27,1.44899,1.05556,1.08898,0.68238,0.4223,0.4266,0.16557,2.36552,2.19732,1.46909,0.003928,0.003928,0.003928
94,5895.02,1.46686,1.07629,1.09825,0.74241,0.42562,0.43232,0.16377,2.47173,2.06042,1.5018,0.003862,0.003862,0.003862
95,5957.84,1.469,1.07868,1.10697,0.72933,0.40541,0.42798,0.16043,2.44052,2.12238,1.49171,0.003796,0.003796,0.003796
96,6020.96,1.47767,1.07101,1.1055,0.69663,0.39358,0.42299,0.17775,2.35378,2.15573,1.46314,0.00373,0.00373,0.00373
97,6084.06,1.40797,1.03786,1.0776,0.72931,0.3902,0.44768,0.18959,2.35108,2.12405,1.4862,0.003664,0.003664,0.003664
98,6147.69,1.45025,1.06224,1.09272,0.75479,0.40222,0.42903,0.17468,2.36773,2.17084,1.49701,0.003598,0.003598,0.003598
99,6211.12,1.42851,1.01773,1.09448,0.67943,0.39744,0.4114,0.16764,2.42983,2.09683,1.51888,0.003532,0.003532,0.003532
100,6274.49,1.4433,1.06294,1.09055,0.71315,0.40372,0.4282,0.1681,2.42385,2.1165,1.53507,0.003466,0.003466,0.003466
