epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6793,3.39156,18.3655,1.40221,0.03989,0.02167,0.02484,0.00894,3.93708,4.55593,1.17725,0.000551912,0.000551912,0.000551912
2,43.834,3.57698,4.804,1.31036,0.13737,0.03765,0.01616,0.00636,3.75645,3.84948,1.37691,0.00109661,0.00109661,0.00109661
3,60.3957,3.57291,3.98357,1.24083,0.05139,0.14524,0.04923,0.01332,3.46219,3.32953,1.14042,0.00163031,0.00163031,0.00163031
4,79.7527,3.58459,3.76257,1.26686,0.12773,0.07217,0.03136,0.00939,3.33025,3.15084,1.11643,0.00161749,0.00161749,0.00161749
5,101.051,3.53446,3.45073,1.2084,0.15351,0.09318,0.03598,0.01096,3.2919,2.70501,1.13317,0.00160099,0.00160099,0.00160099
6,122.18,3.32358,3.279,1.14518,0.21343,0.09979,0.05499,0.01601,3.1606,2.58312,1.05117,0.00158448,0.00158448,0.00158448
7,143.365,3.45173,3.23419,1.12962,0.19159,0.1225,0.05782,0.01829,3.1335,2.60479,1.04313,0.00156798,0.00156798,0.00156798
8,163.982,3.35657,3.24617,1.11266,0.16802,0.12808,0.05075,0.0142,3.18397,2.82848,1.08416,0.00155148,0.00155148,0.00155148
9,184.255,3.44529,3.22749,1.14735,0.18764,0.15497,0.06591,0.01746,3.07251,2.30267,1.05946,0.00153497,0.00153497,0.00153497
10,204.655,3.24987,3.24478,1.13683,0.1907,0.12176,0.07589,0.0239,3.1229,2.65021,1.03684,0.00151847,0.00151847,0.00151847
11,224.773,3.30982,3.1582,1.12724,0.21115,0.16461,0.07135,0.0212,2.97573,2.38679,1.0329,0.00150197,0.00150197,0.00150197
12,245.189,3.22262,3.03333,1.14457,0.21462,0.14758,0.07347,0.02019,2.96862,2.38648,1.03273,0.00148546,0.00148546,0.00148546
13,265.612,3.23192,2.98672,1.12262,0.20148,0.15887,0.07586,0.02174,2.97847,2.34364,1.02847,0.00146896,0.00146896,0.00146896
14,285.653,3.16809,2.83416,1.1182,0.23013,0.18107,0.09203,0.02622,2.94299,2.34056,1.00979,0.00145246,0.00145246,0.00145246
15,305.859,3.22149,2.98724,1.08881,0.23045,0.16949,0.09198,0.02605,2.98812,2.39495,1.00954,0.00143595,0.00143595,0.00143595
16,325.985,3.1881,2.89563,1.06748,0.23316,0.17841,0.09316,0.0275,2.93219,2.26597,1.0009,0.00141945,0.00141945,0.00141945
17,346.472,3.19293,2.83721,1.07191,0.26008,0.18502,0.106,0.03089,2.863,2.35845,0.98536,0.00140295,0.00140295,0.00140295
18,366.505,3.1218,2.90401,1.09255,0.24967,0.16901,0.09498,0.02731,2.84484,2.28321,0.98732,0.00138644,0.00138644,0.00138644
19,386.59,3.09466,2.72863,1.03482,0.22959,0.18427,0.08774,0.02468,2.87167,2.35613,0.9928,0.00136994,0.00136994,0.00136994
20,406.626,3.11794,2.73033,1.08211,0.24291,0.19489,0.11135,0.03371,2.81622,2.15357,0.98054,0.00135344,0.00135344,0.00135344
21,426.758,3.08899,2.74138,1.0622,0.26728,0.20126,0.10392,0.03016,2.87113,2.16525,0.97482,0.00133693,0.00133693,0.00133693
22,447.033,3.05699,2.78843,1.04327,0.24533,0.18569,0.1047,0.03086,2.84722,2.16437,0.97837,0.00132043,0.00132043,0.00132043
23,468.153,3.14443,2.77958,1.05396,0.25844,0.20566,0.12107,0.03653,2.80803,2.14764,0.98175,0.00130393,0.00130393,0.00130393
24,489.902,3.08238,2.69748,1.07048,0.22835,0.18717,0.0958,0.02926,2.87128,2.358,0.99139,0.00128742,0.00128742,0.00128742
25,510.995,3.05517,2.74533,1.04427,0.21457,0.16632,0.09436,0.02971,2.87813,2.26024,0.99755,0.00127092,0.00127092,0.00127092
26,531.743,3.15216,2.79728,1.05887,0.24427,0.20729,0.11276,0.03452,2.77302,2.16877,0.97979,0.00125442,0.00125442,0.00125442
27,552.134,2.98493,2.53322,1.04191,0.25892,0.19954,0.10987,0.03314,2.76049,2.23353,0.97254,0.00123791,0.00123791,0.00123791
28,572.866,3.1162,2.76259,1.06381,0.23859,0.21294,0.10352,0.02967,2.76735,2.21771,0.98599,0.00122141,0.00122141,0.00122141
29,593.714,3.00165,2.73989,1.04995,0.26938,0.20836,0.12655,0.0368,2.78283,2.21327,0.98439,0.00120491,0.00120491,0.00120491
30,614.982,3.0459,2.68806,1.06407,0.26183,0.21457,0.12211,0.03729,2.80367,2.11653,0.98036,0.0011884,0.0011884,0.0011884
31,635.755,2.98409,2.71858,1.03228,0.26193,0.20589,0.12557,0.03834,2.81905,2.18343,0.97875,0.0011719,0.0011719,0.0011719
32,656.054,3.04361,2.71768,1.02856,0.29583,0.20092,0.12779,0.036,2.81566,2.17417,0.9776,0.0011554,0.0011554,0.0011554
33,676.447,3.02477,2.64302,1.04008,0.24529,0.21046,0.12333,0.03714,2.72767,2.09745,0.97928,0.00113889,0.00113889,0.00113889
34,696.757,2.97568,2.57264,1.01664,0.27181,0.2261,0.13615,0.03918,2.75645,2.04719,0.975,0.00112239,0.00112239,0.00112239
35,716.992,3.03653,2.60782,1.05054,0.24303,0.21713,0.10938,0.03254,2.81054,2.0806,0.97904,0.00110589,0.00110589,0.00110589
36,737.182,2.96554,2.56829,1.04441,0.23655,0.20852,0.1175,0.03791,2.77013,2.09614,0.98079,0.00108938,0.00108938,0.00108938
