epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2017,3.15903,13.5425,1.24,0.10163,0.11888,0.03499,0.00966,3.04825,3.07997,1.05431,0.000551912,0.000551912,0.000551912
2,75.4501,3.12716,3.59735,1.14678,0.13455,0.16394,0.05735,0.01608,2.81462,2.6868,1.00456,0.00109661,0.00109661,0.00109661
3,106.653,3.17815,2.93906,1.11663,0.18439,0.19527,0.07743,0.02241,2.87588,2.25423,1.01638,0.00163031,0.00163031,0.00163031
4,137.836,3.03452,2.82844,1.11486,0.19915,0.26645,0.09769,0.02734,2.69099,2.09675,0.9814,0.00161749,0.00161749,0.00161749
5,168.522,2.98242,2.58237,1.07283,0.25715,0.18796,0.12641,0.03631,2.65183,1.90832,0.96695,0.00160099,0.00160099,0.00160099
6,199.144,2.89286,2.61632,1.0461,0.22837,0.25886,0.11508,0.03279,2.66741,2.10946,0.9719,0.00158448,0.00158448,0.00158448
7,229.945,2.96957,2.40661,1.03088,0.30086,0.21878,0.12783,0.03438,2.71982,2.00621,0.97327,0.00156798,0.00156798,0.00156798
8,261.826,2.88453,2.35746,1.01055,0.26596,0.29941,0.15529,0.04439,2.65202,1.91757,0.9716,0.00155148,0.00155148,0.00155148
9,293.005,2.9269,2.43311,1.03367,0.28714,0.28631,0.15694,0.04223,2.66907,1.86378,0.96686,0.00153497,0.00153497,0.00153497
10,324.539,2.8932,2.44496,1.05712,0.25453,0.21433,0.12784,0.03932,2.66319,1.94242,0.95399,0.00151847,0.00151847,0.00151847
11,356.628,2.89031,2.41431,1.027,0.31288,0.2924,0.16533,0.04537,2.62663,1.84035,0.96941,0.00150197,0.00150197,0.00150197
12,388.497,2.85379,2.27442,1.05397,0.30413,0.34085,0.17585,0.04799,2.56591,1.9124,0.95402,0.00148546,0.00148546,0.00148546
13,419.826,2.79086,2.47522,1.03838,0.34533,0.24253,0.16312,0.04923,2.5293,2.07809,0.93957,0.00146896,0.00146896,0.00146896
14,450.927,2.72141,2.17956,1.02984,0.30847,0.28453,0.17431,0.05067,2.56386,1.7596,0.94623,0.00145246,0.00145246,0.00145246
15,481.563,2.81449,2.28886,1.02452,0.31692,0.29109,0.19232,0.05612,2.55618,1.79716,0.94907,0.00143595,0.00143595,0.00143595
16,513.15,2.76975,2.23791,1.00169,0.32178,0.29569,0.18319,0.05646,2.51727,1.79747,0.93909,0.00141945,0.00141945,0.00141945
17,544.954,2.7134,2.12097,0.99085,0.30851,0.28834,0.17317,0.05557,2.47034,1.75125,0.93864,0.00140295,0.00140295,0.00140295
18,576.328,2.77036,2.24783,1.03196,0.37412,0.2948,0.19799,0.05641,2.59968,1.80963,0.96593,0.00138644,0.00138644,0.00138644
19,607.512,2.71481,2.12286,0.97315,0.32514,0.29573,0.17702,0.05488,2.59653,1.77546,0.95179,0.00136994,0.00136994,0.00136994
20,638.649,2.79211,2.14471,1.03942,0.34195,0.28493,0.20332,0.06477,2.53247,1.70408,0.94709,0.00135344,0.00135344,0.00135344
21,670.168,2.7405,2.08098,0.99893,0.33559,0.30946,0.20764,0.06003,2.56658,1.7538,0.93873,0.00133693,0.00133693,0.00133693
22,701.784,2.715,2.1038,1.00175,0.34076,0.33264,0.21236,0.06174,2.5638,1.78637,0.93792,0.00132043,0.00132043,0.00132043
23,732.628,2.75449,2.14178,0.98684,0.32959,0.30864,0.19757,0.05958,2.64488,1.71951,0.9522,0.00130393,0.00130393,0.00130393
24,763.633,2.73549,2.06389,1.0012,0.34256,0.32526,0.20785,0.06323,2.57184,1.90333,0.93478,0.00128742,0.00128742,0.00128742
25,795.068,2.72475,2.02666,0.99397,0.35574,0.34225,0.21659,0.06644,2.56901,1.73002,0.94186,0.00127092,0.00127092,0.00127092
26,827.732,2.77207,2.10383,1.00412,0.37485,0.29994,0.19948,0.06275,2.58589,1.68723,0.94319,0.00125442,0.00125442,0.00125442
27,858.924,2.6028,1.94795,0.98012,0.35508,0.31581,0.21442,0.06798,2.55379,1.7119,0.93123,0.00123791,0.00123791,0.00123791
28,890.978,2.73752,2.05698,1.00483,0.38317,0.34595,0.23809,0.07654,2.47454,1.64583,0.93041,0.00122141,0.00122141,0.00122141
29,922.98,2.73045,2.15068,0.99589,0.40516,0.35142,0.25624,0.07607,2.49148,1.6241,0.92769,0.00120491,0.00120491,0.00120491
30,953.902,2.70253,2.11101,1.00793,0.37774,0.35197,0.25523,0.07967,2.54935,1.67571,0.93422,0.0011884,0.0011884,0.0011884
31,984.71,2.64063,2.05872,0.97538,0.39025,0.33588,0.24184,0.07813,2.52746,1.69345,0.93795,0.0011719,0.0011719,0.0011719
32,1015.42,2.71465,2.04853,0.97894,0.38845,0.3471,0.2332,0.06743,2.57477,1.70227,0.93652,0.0011554,0.0011554,0.0011554
33,1046.09,2.69272,2.00854,0.99134,0.38195,0.35113,0.24213,0.07437,2.59755,1.71901,0.938,0.00113889,0.00113889,0.00113889
34,1076.9,2.6699,2.09339,0.95635,0.35568,0.33334,0.21684,0.06623,2.61973,1.71917,0.94154,0.00112239,0.00112239,0.00112239
35,1107.63,2.68159,1.97753,0.98311,0.41117,0.35878,0.25804,0.08004,2.52195,1.70778,0.93475,0.00110589,0.00110589,0.00110589
36,1138.39,2.66444,1.96962,0.97853,0.37895,0.36452,0.26431,0.08072,2.49895,1.70613,0.92981,0.00108938,0.00108938,0.00108938
37,1169.19,2.55732,1.98006,1.00053,0.39663,0.36477,0.25853,0.07889,2.51631,1.74805,0.92614,0.00107288,0.00107288,0.00107288
