epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7312,3.40441,16.2692,1.33104,0.09873,0.07044,0.02755,0.00722,2.85054,4.90442,1.01436,0.000551912,0.000551912,0.000551912
2,103.187,3.08828,3.89143,1.13674,0.0839,0.09627,0.03364,0.00763,3.20873,2.93129,1.09418,0.00109661,0.00109661,0.00109661
3,151.666,3.41009,3.74026,1.14268,0.01533,0.17474,0.03974,0.00993,3.02637,9.22546,1.04943,0.00163031,0.00163031,0.00163031
4,201.901,3.31493,3.41197,1.17035,0.59065,0.09672,0.03527,0.00783,3.09669,3.31122,1.04652,0.00161749,0.00161749,0.00161749
5,250.762,3.27626,3.11142,1.11925,0.62075,0.13753,0.06963,0.01864,2.78564,2.66024,1.01805,0.00160099,0.00160099,0.00160099
6,299.833,2.95928,2.98064,1.06583,0.22252,0.12415,0.0635,0.01761,2.70017,3.15888,0.9762,0.00158448,0.00158448,0.00158448
7,350.02,3.04762,2.85963,1.0554,0.19563,0.17358,0.09168,0.02299,2.81417,2.15613,0.97969,0.00156798,0.00156798,0.00156798
8,399.588,2.97543,2.85741,1.031,0.07759,0.18423,0.04323,0.01296,2.70345,5.68972,0.97857,0.00155148,0.00155148,0.00155148
9,448.704,3.04475,2.87187,1.04031,0.23733,0.19835,0.11316,0.02913,2.68752,2.069,0.9697,0.00153497,0.00153497,0.00153497
10,497.357,2.93271,2.73449,1.07919,0.24882,0.21404,0.11589,0.02838,2.63251,2.0896,0.93919,0.00151847,0.00151847,0.00151847
11,544.945,2.98085,2.76081,1.05139,0.21713,0.18819,0.10074,0.02637,2.84621,2.28709,1.00842,0.00150197,0.00150197,0.00150197
12,592.062,2.89921,2.61941,1.07219,0.22175,0.24318,0.11311,0.02883,2.67829,2.21533,0.96699,0.00148546,0.00148546,0.00148546
13,639.18,2.89922,2.68134,1.05207,0.21955,0.19935,0.0985,0.02781,2.70667,8.05325,0.96796,0.00146896,0.00146896,0.00146896
14,685.395,2.87221,2.50118,1.05988,0.25805,0.24255,0.13086,0.03693,2.60812,2.29245,0.9783,0.00145246,0.00145246,0.00145246
15,731.568,2.8034,2.6353,1.01216,0.23237,0.2526,0.12157,0.03019,2.51731,2.06318,0.93341,0.00143595,0.00143595,0.00143595
16,777.792,2.85373,2.59473,1.01226,0.25886,0.21368,0.13252,0.03727,2.6901,2.11022,0.96307,0.00141945,0.00141945,0.00141945
17,824.193,2.81245,2.43432,1.01443,0.28014,0.26626,0.16168,0.04522,2.52798,1.98966,0.94582,0.00140295,0.00140295,0.00140295
18,870.304,2.80742,2.56858,1.04125,0.26139,0.20317,0.11421,0.03246,2.59666,2.04165,0.94664,0.00138644,0.00138644,0.00138644
19,916.347,2.78338,2.47057,0.97945,0.24828,0.23515,0.12492,0.03504,2.6028,2.85541,0.9647,0.00136994,0.00136994,0.00136994
20,962.306,2.78542,2.35898,1.03733,0.24922,0.26722,0.1407,0.03785,2.5326,2.46025,0.95397,0.00135344,0.00135344,0.00135344
21,1008.52,2.72528,2.33598,1.00573,0.3592,0.2684,0.15577,0.04619,2.44381,2.07207,0.922,0.00133693,0.00133693,0.00133693
22,1054.43,2.74695,2.34224,1.00397,0.29459,0.25384,0.14681,0.04278,2.42002,2.00405,0.92488,0.00132043,0.00132043,0.00132043
23,1100.91,2.80321,2.3321,1.00132,0.30295,0.25675,0.16487,0.04369,2.51958,2.02088,0.93725,0.00130393,0.00130393,0.00130393
24,1149.39,2.74361,2.39225,1.00746,0.30343,0.25472,0.17793,0.05333,2.4646,1.91793,0.9248,0.00128742,0.00128742,0.00128742
25,1197.9,2.73815,2.31613,0.99565,0.32716,0.28822,0.173,0.04585,2.55115,1.95955,0.9535,0.00127092,0.00127092,0.00127092
26,1247.84,2.77688,2.30388,1.01123,0.31319,0.29451,0.18018,0.05129,2.49963,1.90787,0.95488,0.00125442,0.00125442,0.00125442
27,1296.82,2.64437,2.1639,0.99187,0.3377,0.30915,0.20136,0.05692,2.43554,1.77716,0.92973,0.00123791,0.00123791,0.00123791
28,1346.8,2.74412,2.21806,0.99672,0.32246,0.28991,0.17459,0.05056,2.38799,1.73344,0.90937,0.00122141,0.00122141,0.00122141
29,1392.92,2.71961,2.30184,1.00098,0.34482,0.29188,0.18524,0.05297,2.37564,1.68189,0.90616,0.00120491,0.00120491,0.00120491
30,1439.89,2.75923,2.3346,1.02999,0.32131,0.27576,0.18082,0.05235,2.42616,1.76655,0.92579,0.0011884,0.0011884,0.0011884
31,1490.91,2.61563,2.24592,0.98111,0.35666,0.27883,0.20143,0.05984,2.45705,1.94234,0.92933,0.0011719,0.0011719,0.0011719
32,1540.59,2.71388,2.24742,0.98194,0.32403,0.2857,0.18096,0.05156,2.50025,1.82366,0.93421,0.0011554,0.0011554,0.0011554
33,1589.88,2.66969,2.17602,0.99082,0.37808,0.24584,0.20531,0.06031,2.50369,1.89616,0.93393,0.00113889,0.00113889,0.00113889
34,1639.45,2.63666,2.26901,0.96832,0.33898,0.31673,0.18221,0.0499,2.47864,2.01891,0.94033,0.00112239,0.00112239,0.00112239
