epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8667,3.45403,32.4351,1.47892,0,0,0,0,3.34866,9.25319,1.16018,0.000551912,0.000551912,0.000551912
2,27.5598,3.70355,21.3735,1.38983,1,0.00086,0.00314,0.00166,3.80588,7.06156,1.17881,0.00109661,0.00109661,0.00109661
3,34.0179,3.89605,17.0568,1.32482,0.9301,0.00311,0.00289,0.00129,3.68016,6.58601,1.15508,0.00163031,0.00163031,0.00163031
4,41.4965,3.92935,13.0115,1.33213,0.77544,0.00273,0.00296,0.00126,3.43768,6.26889,1.12637,0.00161749,0.00161749,0.00161749
5,49.0281,3.86765,11.1248,1.29907,0.75353,0.00266,0.00317,0.00139,3.28699,6.20618,1.07631,0.00160099,0.00160099,0.00160099
6,56.4826,3.63937,11.1203,1.21966,0.53282,0.00488,0.00367,0.00238,3.2956,6.49202,1.08084,0.00158448,0.00158448,0.00158448
7,63.0638,3.64572,9.17736,1.17313,0.54498,0.00444,0.00435,0.00247,3.28574,5.9738,1.05796,0.00156798,0.00156798,0.00156798
8,70.198,3.56752,8.45799,1.14789,0.5536,0.00488,0.00498,0.00255,3.32851,5.21897,1.07349,0.00155148,0.00155148,0.00155148
9,77.399,3.72609,8.35592,1.18649,0.55308,0.00799,0.00643,0.00267,3.3279,4.50405,1.06933,0.00153497,0.00153497,0.00153497
10,85.052,3.54301,7.34931,1.16726,0.64034,0.01198,0.01069,0.00388,3.39262,3.74904,1.07286,0.00151847,0.00151847,0.00151847
11,93.2241,3.64156,6.73493,1.16601,0.68933,0.00947,0.01375,0.00433,3.31947,3.55147,1.05434,0.00150197,0.00150197,0.00150197
12,103.171,3.49084,6.02431,1.16168,0.63567,0.02484,0.01911,0.00687,3.19086,3.47013,1.03956,0.00148546,0.00148546,0.00148546
13,111.45,3.42969,6.23933,1.14334,0.66717,0.01582,0.02061,0.00647,3.18249,3.3746,1.04112,0.00146896,0.00146896,0.00146896
14,118.887,3.41521,5.4479,1.1417,0.6422,0.02484,0.02175,0.00643,3.16678,3.28706,1.03915,0.00145246,0.00145246,0.00145246
15,125.657,3.46455,5.51506,1.10955,0.65778,0.03017,0.02488,0.00691,3.21934,3.24492,1.04712,0.00143595,0.00143595,0.00143595
16,133.822,3.47861,5.32287,1.10569,0.66327,0.03194,0.02876,0.00862,3.25474,3.21031,1.04162,0.00141945,0.00141945,0.00141945
17,142.113,3.45126,5.09739,1.10064,0.62243,0.0417,0.02786,0.00858,3.25579,3.1284,1.03412,0.00140295,0.00140295,0.00140295
18,152.518,3.3692,5.13007,1.11496,0.61344,0.04348,0.02786,0.00926,3.21936,3.11067,1.02848,0.00138644,0.00138644,0.00138644
19,160.57,3.38239,4.62098,1.0762,0.06897,0.09335,0.04236,0.01345,3.18162,3.27249,1.02303,0.00136994,0.00136994,0.00136994
20,168.097,3.34891,4.5549,1.10576,0.61516,0.05058,0.03574,0.01126,3.1939,3.16923,1.04146,0.00135344,0.00135344,0.00135344
21,175.45,3.36459,4.55728,1.10301,0.627,0.04743,0.04031,0.01299,3.10384,3.13573,1.03425,0.00133693,0.00133693,0.00133693
