epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6462,3.49838,26.6248,1.41261,0.04803,0.00887,0.00448,0.00164,3.30215,7.88066,1.07989,0.000551912,0.000551912,0.000551912
2,30.9131,3.45534,15.5804,1.23003,0.65227,0.02484,0.02055,0.00645,3.22416,5.76063,1.06921,0.00109661,0.00109661,0.00109661
3,38.9312,3.50107,12.1501,1.18364,0.6104,0.04437,0.02183,0.00676,3.02732,5.22449,1.04056,0.00163031,0.00163031,0.00163031
4,48.3933,3.43039,9.58968,1.18038,0.06826,0.05013,0.02,0.00637,3.08899,5.27905,1.07827,0.00161749,0.00161749,0.00161749
5,57.6269,3.42933,8.29885,1.15685,0.11754,0.07587,0.03428,0.00886,2.98309,4.82768,1.0192,0.00160099,0.00160099,0.00160099
6,66.8466,3.24361,8.71853,1.10447,0.09068,0.06965,0.02926,0.00909,3.13738,4.928,1.04737,0.00158448,0.00158448,0.00158448
7,75.9801,3.32861,7.04983,1.09149,0.12342,0.10603,0.04952,0.01275,3.08659,4.66689,1.02134,0.00156798,0.00156798,0.00156798
8,84.9333,3.2805,6.77352,1.059,0.09377,0.09361,0.03561,0.01129,3.05229,3.53511,1.03736,0.00155148,0.00155148,0.00155148
9,93.8537,3.27274,6.25194,1.07441,0.16103,0.12397,0.05838,0.01679,2.95101,2.66318,1.00425,0.00153497,0.00153497,0.00153497
10,102.793,3.12252,5.50258,1.08687,0.18254,0.1206,0.05004,0.01321,2.99172,2.56754,1.01965,0.00151847,0.00151847,0.00151847
11,111.765,3.20591,5.06543,1.0821,0.12948,0.13573,0.04776,0.01304,2.95963,2.54634,1.03003,0.00150197,0.00150197,0.00150197
12,120.677,3.20366,4.66084,1.08776,0.15299,0.13391,0.06466,0.0181,2.87551,2.38153,0.9837,0.00148546,0.00148546,0.00148546
13,129.747,3.10701,4.72536,1.05533,0.16112,0.13683,0.06614,0.01876,2.86417,2.34487,0.99351,0.00146896,0.00146896,0.00146896
14,138.43,3.04663,3.95516,1.06396,0.21661,0.18076,0.07783,0.02328,2.75693,2.28812,0.9887,0.00145246,0.00145246,0.00145246
15,147.266,3.08505,4.14485,1.05286,0.24243,0.15633,0.07778,0.02385,2.81654,2.24711,0.98986,0.00143595,0.00143595,0.00143595
16,156.046,3.09683,3.96669,1.02983,0.25125,0.18742,0.08796,0.02556,2.74246,2.20703,0.98793,0.00141945,0.00141945,0.00141945
17,164.926,3.05908,3.68347,1.02544,0.25514,0.1801,0.0877,0.02556,2.76911,2.21795,0.98944,0.00140295,0.00140295,0.00140295
18,174.088,3.04293,3.70174,1.04074,0.29992,0.17958,0.0942,0.02857,2.78322,2.135,0.989,0.00138644,0.00138644,0.00138644
19,182.834,3.01554,3.45407,1.00939,0.27107,0.2031,0.10303,0.03018,2.77647,2.19194,0.97836,0.00136994,0.00136994,0.00136994
20,191.431,3.02393,3.34169,1.03614,0.29017,0.21167,0.11674,0.03389,2.75871,2.0688,0.97215,0.00135344,0.00135344,0.00135344
21,199.988,3.00665,3.26553,1.02956,0.261,0.21859,0.11124,0.0324,2.75839,2.13726,0.97384,0.00133693,0.00133693,0.00133693
22,208.657,3.0058,3.35546,1.00716,0.30162,0.21841,0.12149,0.03227,2.76819,2.14388,0.97119,0.00132043,0.00132043,0.00132043
23,217.552,2.99759,3.2066,1.00991,0.26766,0.22562,0.11889,0.03232,2.80308,2.08526,0.99466,0.00130393,0.00130393,0.00130393
24,226.727,3.07721,3.14159,1.02133,0.29474,0.22906,0.13706,0.03634,2.71892,2.06645,0.95345,0.00128742,0.00128742,0.00128742
25,235.574,2.95574,2.98711,1.01415,0.27371,0.21446,0.11072,0.03268,2.76623,2.03699,0.97082,0.00127092,0.00127092,0.00127092
26,244.626,3.07448,3.16192,1.02049,0.28023,0.23448,0.13506,0.03668,2.74687,2.03938,0.97536,0.00125442,0.00125442,0.00125442
27,253.374,2.88424,2.82767,0.99873,0.26277,0.23265,0.11837,0.0348,2.73402,2.01604,0.95171,0.00123791,0.00123791,0.00123791
28,262.171,3.05869,2.97327,1.0233,0.25624,0.23763,0.12549,0.0367,2.75454,2.04738,0.95851,0.00122141,0.00122141,0.00122141
29,270.725,2.97833,2.97936,1.00005,0.31215,0.24052,0.14163,0.04053,2.72226,2.04466,0.95534,0.00120491,0.00120491,0.00120491
30,279.508,2.95925,2.97045,1.02519,0.24551,0.22429,0.12205,0.03731,2.774,2.03306,0.97637,0.0011884,0.0011884,0.0011884
31,288.748,2.92278,2.93874,1.00185,0.29685,0.23803,0.13473,0.0394,2.71621,2.10775,0.95316,0.0011719,0.0011719,0.0011719
32,298.126,2.9645,2.90755,0.99396,0.31655,0.21571,0.12898,0.03852,2.75042,2.02894,0.95874,0.0011554,0.0011554,0.0011554
33,307.448,2.92189,2.81036,1.00621,0.27844,0.24096,0.12388,0.03865,2.76839,2.09552,0.96143,0.00113889,0.00113889,0.00113889
34,316.665,2.89152,2.7759,0.97958,0.29232,0.23479,0.13561,0.04016,2.70314,2.0067,0.95676,0.00112239,0.00112239,0.00112239
