epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8359,3.5107,27.5991,1.42638,0.00043,0.00532,0.00023,0.00012,3.03488,8.16411,1.03412,0.000551912,0.000551912,0.000551912
2,35.7247,3.4366,15.7226,1.20429,0.65852,0.01996,0.01691,0.00391,3.02086,5.5741,1.0117,0.00109661,0.00109661,0.00109661
3,46.543,3.43052,11.1821,1.16578,0.61813,0.05856,0.03121,0.00717,3.00545,4.98482,1.04936,0.00163031,0.00163031,0.00163031
4,58.0598,3.3509,8.76441,1.1458,0.5946,0.0792,0.03345,0.00846,3.03786,4.91987,1.03332,0.00161749,0.00161749,0.00161749
5,70.7595,3.30243,7.74977,1.11049,0.11166,0.11624,0.05467,0.01331,2.8441,5.00305,0.99837,0.00160099,0.00160099,0.00160099
6,83.295,3.23431,8.4846,1.10152,0.11415,0.11694,0.05626,0.0151,2.8734,4.57597,1.00427,0.00158448,0.00158448,0.00158448
7,95.8595,3.20858,6.75793,1.0754,0.13173,0.12555,0.06702,0.01755,2.71941,4.34711,0.95802,0.00156798,0.00156798,0.00156798
8,108.38,3.13417,6.46826,1.02886,0.14753,0.13354,0.0708,0.01899,2.74991,2.97129,0.95174,0.00155148,0.00155148,0.00155148
9,120.525,3.12256,5.97446,1.03309,0.65315,0.14026,0.08283,0.02333,2.71923,2.41121,0.98003,0.00153497,0.00153497,0.00153497
10,132.983,3.03108,5.23064,1.08544,0.1547,0.1402,0.07545,0.02148,2.73859,2.27845,0.97081,0.00151847,0.00151847,0.00151847
11,145.468,3.08219,4.77529,1.04833,0.13877,0.14729,0.08286,0.02297,2.74234,2.21112,0.97071,0.00150197,0.00150197,0.00150197
12,157.911,3.04483,4.35092,1.06943,0.15375,0.14419,0.0916,0.02452,2.7196,2.20066,0.95654,0.00148546,0.00148546,0.00148546
13,170.394,3.00762,4.41557,1.04192,0.15102,0.1575,0.0917,0.025,2.67953,2.19073,0.96138,0.00146896,0.00146896,0.00146896
14,182.881,2.90785,3.75655,1.03212,0.15065,0.1805,0.09806,0.02839,2.56956,2.07422,0.946,0.00145246,0.00145246,0.00145246
15,195.256,2.94475,3.97251,1.01383,0.18479,0.17987,0.1153,0.03182,2.59664,2.09142,0.94442,0.00143595,0.00143595,0.00143595
16,207.293,2.9651,3.71796,1.00144,0.20558,0.17992,0.10708,0.02946,2.56316,2.01258,0.9363,0.00141945,0.00141945,0.00141945
17,219.668,2.93632,3.46846,1.00522,0.18719,0.20671,0.12568,0.03661,2.48899,1.95021,0.93045,0.00140295,0.00140295,0.00140295
18,232.107,2.84595,3.47005,1.01259,0.23236,0.19146,0.1231,0.03594,2.49955,1.94002,0.92344,0.00138644,0.00138644,0.00138644
