epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3195,3.41391,65.6997,1.42691,0.01571,0.01749,0.01225,0.00507,3.73596,10.7844,1.27172,0.000551912,0.000551912,0.000551912
2,31.6727,3.63141,10.1219,1.3544,0.65464,0.01464,0.01475,0.00534,3.51589,3.88236,1.17756,0.00109661,0.00109661,0.00109661
3,40.9613,3.67427,5.17107,1.27903,0.62117,0.02351,0.02122,0.00698,3.48475,3.60099,1.1627,0.00163031,0.00163031,0.00163031
4,50.2361,3.70768,4.54948,1.29354,0.03895,0.08012,0.03589,0.01174,3.40865,3.76565,1.15061,0.00161749,0.00161749,0.00161749
5,61.2156,3.6457,4.28207,1.23837,0.02256,0.11699,0.03149,0.00984,3.37238,3.38239,1.12689,0.00160099,0.00160099,0.00160099
6,72.0302,3.50097,4.03821,1.17873,0.06178,0.10656,0.0519,0.01631,3.33519,3.72919,1.06822,0.00158448,0.00158448,0.00158448
7,82.7767,3.54933,3.81213,1.16165,0.04282,0.12309,0.04295,0.01522,3.34386,3.35485,1.09579,0.00156798,0.00156798,0.00156798
8,93.5465,3.46024,3.78924,1.1251,0.17429,0.06407,0.04008,0.01363,3.28378,2.99461,1.06489,0.00155148,0.00155148,0.00155148
9,104.346,3.57539,3.91544,1.1477,0.04499,0.17862,0.059,0.01722,3.23679,3.06486,1.04773,0.00153497,0.00153497,0.00153497
10,114.908,3.42074,3.71498,1.16593,0.17649,0.0654,0.04437,0.01425,3.20578,2.89812,1.05868,0.00151847,0.00151847,0.00151847
11,125.742,3.52568,3.65407,1.1608,0.11464,0.06097,0.04103,0.01308,3.2522,2.99762,1.0634,0.00150197,0.00150197,0.00150197
12,136.405,3.39186,3.57701,1.16419,0.10058,0.07897,0.04004,0.01133,3.20146,2.76313,1.0476,0.00148546,0.00148546,0.00148546
13,147.012,3.38504,3.52409,1.15477,0.1702,0.08384,0.04752,0.01395,3.16475,2.7733,1.04323,0.00146896,0.00146896,0.00146896
14,157.578,3.32593,3.37715,1.1424,0.18826,0.12405,0.05362,0.01367,3.05542,2.62101,1.01237,0.00145246,0.00145246,0.00145246
15,168.111,3.36506,3.42372,1.11276,0.21566,0.08156,0.06283,0.01798,3.15109,2.92869,1.05661,0.00143595,0.00143595,0.00143595
16,178.594,3.36898,3.38924,1.09516,0.17886,0.11994,0.04686,0.01234,3.15971,2.66818,1.02987,0.00141945,0.00141945,0.00141945
17,189.047,3.3425,3.4037,1.09149,0.21018,0.13407,0.06547,0.01709,3.08875,2.56363,1.02278,0.00140295,0.00140295,0.00140295
18,199.413,3.29061,3.40579,1.1172,0.16431,0.08277,0.05559,0.01502,3.15001,2.66094,1.03813,0.00138644,0.00138644,0.00138644
19,209.846,3.235,3.18618,1.05545,0.19856,0.12575,0.06053,0.01601,3.14143,2.5947,1.02453,0.00136994,0.00136994,0.00136994
