epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3361,3.35792,49.4001,1.36542,0.53541,0.0213,0.01086,0.00342,3.27288,14.9865,1.16804,0.000551912,0.000551912,0.000551912
2,39.8698,3.26041,6.48057,1.20405,0.02134,0.22725,0.03982,0.01195,2.96035,2.55836,1.03684,0.00109661,0.00109661,0.00109661
3,53.06,3.27277,3.88487,1.16028,0.13396,0.12966,0.05496,0.01617,2.92498,2.40974,1.03869,0.00163031,0.00163031,0.00163031
4,68.6917,3.25915,3.38756,1.14609,0.1224,0.12547,0.05448,0.0152,3.0544,2.86851,1.07059,0.00161749,0.00161749,0.00161749
5,83.7653,3.21484,3.04716,1.12326,0.24934,0.15317,0.0825,0.02417,2.75557,2.1958,1.01235,0.00160099,0.00160099,0.00160099
6,98.4425,3.07547,2.86022,1.08391,0.20352,0.17966,0.08347,0.02491,2.83747,2.27743,1.00086,0.00158448,0.00158448,0.00158448
7,113.219,3.0982,2.77601,1.05966,0.17662,0.18205,0.0923,0.02623,2.81925,2.29436,0.98755,0.00156798,0.00156798,0.00156798
8,128.532,2.97641,2.73293,1.02906,0.203,0.20202,0.09977,0.03038,2.79098,2.13606,0.98732,0.00155148,0.00155148,0.00155148
9,143.437,3.06047,2.77107,1.05188,0.26384,0.21046,0.11697,0.0306,2.81756,2.08186,1.01188,0.00153497,0.00153497,0.00153497
10,158.366,2.94818,2.70063,1.07595,0.21516,0.19578,0.08942,0.0279,2.81794,2.1702,1.00345,0.00151847,0.00151847,0.00151847
11,173.45,3.03061,2.76284,1.05121,0.26425,0.24648,0.12606,0.03519,2.71065,2.04158,0.97669,0.00150197,0.00150197,0.00150197
12,188.522,2.98903,2.57399,1.08861,0.29398,0.242,0.14179,0.04422,2.71091,1.94859,0.98012,0.00148546,0.00148546,0.00148546
13,203.228,2.94441,2.59144,1.05651,0.30135,0.25291,0.13939,0.03912,2.66036,2.06207,0.97434,0.00146896,0.00146896,0.00146896
14,217.913,2.90067,2.50061,1.06113,0.27459,0.25025,0.12546,0.03499,2.7329,2.27405,0.99979,0.00145246,0.00145246,0.00145246
15,232.741,2.92054,2.7156,1.03606,0.31857,0.23229,0.14006,0.04177,2.72642,2.08513,1.0002,0.00143595,0.00143595,0.00143595
