epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1451,3.57614,51.2896,1.46346,0.03904,0.03682,0.02407,0.00662,3.14357,5.60739,1.11694,0.000551912,0.000551912,0.000551912
2,50.1633,3.37569,6.25402,1.22117,0.59988,0.09539,0.04361,0.01121,3.05927,3.178,1.05195,0.00109661,0.00109661,0.00109661
3,72.3066,3.34624,4.54226,1.15293,0.01702,0.22584,0.03812,0.00925,2.82763,2.8803,1.02819,0.00163031,0.00163031,0.00163031
4,94.188,3.25887,3.71699,1.14447,0.5964,0.0772,0.03874,0.00992,2.92983,2.83188,1.03012,0.00161749,0.00161749,0.00161749
5,115.987,3.33552,3.44394,1.16804,0.61953,0.10382,0.06117,0.01532,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,138.08,3.16853,3.32902,1.09063,0.20967,0.14471,0.07176,0.0191,2.77296,2.40348,1.00051,0.00158448,0.00158448,0.00158448
7,160.282,3.1783,3.10198,1.06691,0.62799,0.16327,0.08135,0.02113,2.78893,2.38972,0.97958,0.00156798,0.00156798,0.00156798
8,182.192,3.02709,3.00222,1.04133,0.15434,0.167,0.08673,0.02424,2.65837,2.35043,0.98267,0.00155148,0.00155148,0.00155148
9,204.225,3.0873,2.9746,1.0571,0.2869,0.19051,0.10927,0.03016,2.57992,2.07097,0.99264,0.00153497,0.00153497,0.00153497
10,226.453,2.97913,2.89426,1.10021,0.22859,0.16896,0.09087,0.02572,2.60999,2.21777,0.96447,0.00151847,0.00151847,0.00151847
11,248.559,3.04544,2.9092,1.0668,0.21728,0.20006,0.11149,0.02944,2.57115,2.05484,0.96242,0.00150197,0.00150197,0.00150197
12,270.096,3.03058,2.82455,1.09208,0.22263,0.21333,0.10736,0.02859,2.65291,2.14709,0.9797,0.00148546,0.00148546,0.00148546
13,291.359,2.9549,2.90594,1.0595,0.20629,0.19685,0.10067,0.02843,2.54916,2.17166,0.9469,0.00146896,0.00146896,0.00146896
14,312.583,2.92521,2.60158,1.06146,0.2411,0.22017,0.12248,0.03361,2.56727,1.90959,0.96361,0.00145246,0.00145246,0.00145246
15,333.941,2.89721,2.69328,1.03588,0.22557,0.21089,0.12638,0.03639,2.49339,1.98565,0.93903,0.00143595,0.00143595,0.00143595
16,355.277,2.91111,2.63206,1.01169,0.25903,0.22355,0.12401,0.03579,2.70299,2.18304,0.98495,0.00141945,0.00141945,0.00141945
17,376.742,2.88024,2.50728,1.02179,0.26375,0.25088,0.13122,0.03679,2.55009,2.04424,0.95164,0.00140295,0.00140295,0.00140295
18,398.062,2.85975,2.63042,1.03913,0.26509,0.24713,0.14252,0.03892,2.45035,1.88706,0.92717,0.00138644,0.00138644,0.00138644
19,419.77,2.75952,2.48063,0.98057,0.28569,0.24925,0.14246,0.04218,2.45268,2.03448,0.9313,0.00136994,0.00136994,0.00136994
20,441.149,2.81336,2.44343,1.02139,0.22406,0.23075,0.13184,0.0385,2.56251,2.02562,0.94426,0.00135344,0.00135344,0.00135344
21,462.397,2.78284,2.39848,1.00749,0.29488,0.23671,0.16046,0.05068,2.43889,1.89232,0.92502,0.00133693,0.00133693,0.00133693
22,483.711,2.74577,2.41669,0.99683,0.30926,0.25302,0.16186,0.04861,2.41234,1.84334,0.91853,0.00132043,0.00132043,0.00132043
23,505.143,2.80958,2.41306,0.99376,0.27957,0.26611,0.15222,0.04144,2.44383,1.84992,0.91816,0.00130393,0.00130393,0.00130393
24,526.606,2.74007,2.37479,1.00052,0.29861,0.26652,0.16938,0.04839,2.42198,1.78321,0.91364,0.00128742,0.00128742,0.00128742
25,548.416,2.70074,2.30604,0.98616,0.33668,0.31344,0.18354,0.05307,2.36136,1.74511,0.90171,0.00127092,0.00127092,0.00127092
26,571.05,2.81565,2.43581,1.00268,0.31842,0.2275,0.15867,0.04625,2.43246,1.81908,0.90611,0.00125442,0.00125442,0.00125442
27,593.159,2.65713,2.27605,0.99122,0.32603,0.31153,0.20231,0.05925,2.4726,1.84518,0.93432,0.00123791,0.00123791,0.00123791
28,615.05,2.78884,2.31879,1.00668,0.28252,0.28067,0.16636,0.04801,2.56754,1.81332,0.9529,0.00122141,0.00122141,0.00122141
29,636.32,2.70198,2.32744,0.98099,0.34107,0.27905,0.19252,0.05561,2.51463,1.81846,0.94542,0.00120491,0.00120491,0.00120491
