epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7994,2.33009,11.1274,1.71544,0.00035,0.0641,0.00028,9e-05,2.85443,7.32955,1.84012,0.00038341,0.00038341,0.00038341
2,25.5752,2.41893,9.62174,1.66153,0,0,0,0,2.61084,6.55773,1.73519,0.000778319,0.000778319,0.000778319
3,30.2573,2.7224,9.98081,1.92396,0.00012,0.03846,0.0004,6e-05,2.58739,5.60463,2.04128,0.00116795,0.00116795,0.00116795
4,34.9028,2.72485,8.63478,1.85835,0.00034,0.08165,0.01272,0.00705,2.84523,5.83101,2.05738,0.00155229,0.00155229,0.00155229
5,39.4964,2.79787,8.25712,1.86556,0.50037,0.03846,0.00027,9e-05,2.8498,9.30672,1.92496,0.00162299,0.00162299,0.00162299
6,44.219,2.73831,7.27216,1.88724,0.0036,0.15047,0.00352,0.00134,3.01484,226.025,3.5185,0.00161199,0.00161199,0.00161199
7,48.9156,2.61404,6.09081,1.80834,0.29189,0.11201,0.0543,0.01962,3.0923,57.5374,2.62667,0.00160099,0.00160099,0.00160099
8,53.5484,2.61758,5.75678,1.85536,0.04364,0.15924,0.00893,0.00229,3.16182,25.3804,2.16942,0.00158998,0.00158998,0.00158998
9,58.152,2.70394,5.32519,1.81955,0.07886,0.09582,0.03513,0.01247,2.92101,4.24605,1.81273,0.00157898,0.00157898,0.00157898
10,62.7602,2.58576,4.77087,1.75925,0.194,0.11288,0.07512,0.03141,2.93699,5.58491,1.89619,0.00156798,0.00156798,0.00156798
11,67.3588,2.66105,4.47201,1.81261,0.19373,0.27518,0.15768,0.0521,2.56895,2.85688,1.59249,0.00155698,0.00155698,0.00155698
12,71.9923,2.57787,4.15984,1.73098,0.27379,0.20513,0.1764,0.06668,2.56783,3.69092,1.68768,0.00154598,0.00154598,0.00154598
13,76.5776,2.4871,3.81086,1.72508,0.28188,0.24359,0.18348,0.06607,2.50677,3.02994,1.6491,0.00153497,0.00153497,0.00153497
14,81.1982,2.49805,3.65569,1.75975,0.38757,0.23317,0.18772,0.07631,2.49053,3.92273,1.68019,0.00152397,0.00152397,0.00152397
15,85.8021,2.42598,3.5401,1.64024,0.3494,0.21323,0.18404,0.05883,2.47068,2.68242,1.6324,0.00151297,0.00151297,0.00151297
16,90.3623,2.44629,3.5522,1.72378,0.36171,0.19906,0.1676,0.0777,2.39923,2.67192,1.61964,0.00150197,0.00150197,0.00150197
17,94.98,2.37711,3.38123,1.67451,0.6195,0.23416,0.24012,0.09955,2.36885,2.40458,1.58971,0.00149096,0.00149096,0.00149096
18,99.5385,2.36267,3.25829,1.72065,0.36149,0.20445,0.22807,0.09379,2.373,2.30706,1.72155,0.00147996,0.00147996,0.00147996
19,104.092,2.37065,3.14972,1.62698,0.30275,0.20534,0.17644,0.07383,2.51099,2.42673,1.7069,0.00146896,0.00146896,0.00146896
20,108.644,2.13498,3.02527,1.60931,0.53755,0.27733,0.30199,0.12002,2.34025,2.40404,1.66616,0.00145796,0.00145796,0.00145796
21,113.207,2.4143,3.03756,1.70457,0.68416,0.2826,0.32893,0.13492,2.23261,1.94048,1.54896,0.00144696,0.00144696,0.00144696
22,117.786,2.38317,3.16613,1.63569,0.49104,0.26046,0.26165,0.08131,2.52419,2.56577,1.65725,0.00143595,0.00143595,0.00143595
23,122.393,2.28953,2.83952,1.62616,0.43524,0.32119,0.26893,0.11034,2.09767,2.1519,1.50915,0.00142495,0.00142495,0.00142495
24,126.972,2.24541,2.90066,1.62863,0.51493,0.32456,0.30186,0.12318,2.08931,2.48981,1.55148,0.00141395,0.00141395,0.00141395
25,131.528,2.17187,2.67632,1.58605,0.42105,0.31714,0.27846,0.11817,2.14907,2.33316,1.49935,0.00140295,0.00140295,0.00140295
26,136.096,2.26607,2.77676,1.65048,0.43839,0.3475,0.2935,0.11375,2.27092,2.15454,1.55053,0.00139195,0.00139195,0.00139195
27,140.664,2.27396,2.61074,1.64267,0.61619,0.31262,0.3539,0.1366,2.27215,2.15491,1.56183,0.00138094,0.00138094,0.00138094
28,145.234,2.22339,2.59416,1.6311,0.55459,0.27931,0.33631,0.15451,2.21502,1.93013,1.55502,0.00136994,0.00136994,0.00136994
29,149.827,2.1446,2.51254,1.64755,0.65182,0.35155,0.35862,0.13433,2.31189,2.07494,1.54939,0.00135894,0.00135894,0.00135894
30,154.375,2.25722,2.57823,1.6354,0.37812,0.32321,0.24997,0.1011,2.18729,2.02631,1.54109,0.00134794,0.00134794,0.00134794
31,158.933,2.14542,2.6441,1.49554,0.42616,0.35088,0.302,0.11915,2.26894,2.10191,1.53971,0.00133693,0.00133693,0.00133693
32,163.477,2.20438,2.47647,1.60393,0.48967,0.41633,0.39233,0.16944,2.19226,1.98256,1.47631,0.00132593,0.00132593,0.00132593
33,168.09,2.13084,2.54805,1.51469,0.47336,0.40898,0.38495,0.16489,2.16378,2.0212,1.52229,0.00131493,0.00131493,0.00131493
34,172.636,2.07559,2.31032,1.50517,0.43705,0.23954,0.2479,0.10086,2.32225,2.31829,1.57063,0.00130393,0.00130393,0.00130393
35,177.206,2.0641,2.40364,1.50445,0.45452,0.39226,0.36434,0.16367,2.12286,1.93159,1.4729,0.00129293,0.00129293,0.00129293
36,181.776,2.06528,2.27744,1.52284,0.48478,0.33873,0.29893,0.13653,1.99864,2.12456,1.41795,0.00128192,0.00128192,0.00128192
37,186.356,2.08704,2.33503,1.50152,0.42871,0.32659,0.31483,0.1217,2.15063,2.31299,1.45872,0.00127092,0.00127092,0.00127092
38,190.923,2.00243,2.19587,1.46753,0.51793,0.30837,0.30596,0.12404,2.2537,2.05157,1.53173,0.00125992,0.00125992,0.00125992
39,195.502,2.09364,2.2427,1.52057,0.58661,0.30504,0.31155,0.12067,2.1247,2.23103,1.47172,0.00124892,0.00124892,0.00124892
40,200.08,2.17668,2.32362,1.57929,0.55222,0.29945,0.28081,0.09923,2.11036,2.16359,1.54535,0.00123791,0.00123791,0.00123791
41,204.624,2.05362,2.16559,1.50468,0.60132,0.31714,0.34877,0.1223,2.25545,2.12281,1.51921,0.00122691,0.00122691,0.00122691
42,209.177,2.12341,2.15915,1.54343,0.68001,0.32119,0.35347,0.14111,2.35696,2.13373,1.59229,0.00121591,0.00121591,0.00121591
