epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7261,2.63012,25.1221,1.71358,0.00026,0.14358,0.0002,8e-05,2.81186,5.16651,1.46198,0.00332652,0.00332652,0.00332652
2,182.53,2.9945,7.15428,1.87803,0,0,0,0,3.46573,4.54658,1.80872,0.0066159,0.0066159,0.0066159
3,266.177,3.50026,5.72988,2.26257,0,0,0,0,3.70367,4.48808,2.27755,0.00986127,0.00986127,0.00986127
4,349.451,3.61858,5.59266,2.40415,0,0,0,0,3.55231,4.40316,2.15184,0.009802,0.009802,0.009802
5,433.274,3.50676,5.4331,2.39656,0.00814,0.07939,0.01081,0.00295,3.50008,4.28932,2.09133,0.009736,0.009736,0.009736
6,516.883,3.2971,5.12194,2.20381,0.0103,0.10304,0.00978,0.00274,3.30102,4.46037,1.77201,0.00967,0.00967,0.00967
7,600.532,3.14745,4.83404,2.00247,0.603,0.05391,0.03418,0.01202,2.96429,3.7583,1.61641,0.009604,0.009604,0.009604
8,684.373,3.01975,4.36124,1.99342,0.2232,0.04392,0.03901,0.01352,3.01723,3.94035,1.65936,0.009538,0.009538,0.009538
9,768.397,2.87972,4.08875,1.90685,0.07843,0.07264,0.0464,0.01422,3.02742,3.45806,1.7038,0.009472,0.009472,0.009472
10,852.154,2.87312,3.90655,1.82024,0.13422,0.09797,0.05857,0.02053,2.77805,3.26507,1.58941,0.009406,0.009406,0.009406
11,935.996,2.73279,3.68362,1.80145,0.26349,0.09122,0.07673,0.02914,2.54961,3.4694,1.45095,0.00934,0.00934,0.00934
12,1019.75,2.74433,3.60487,1.81833,0.17167,0.21284,0.09592,0.03588,2.59029,3.02458,1.43764,0.009274,0.009274,0.009274
13,1103.61,2.6631,3.37963,1.76699,0.2145,0.17399,0.10199,0.03191,2.7066,2.9855,1.4906,0.009208,0.009208,0.009208
14,1187.67,2.61092,3.27342,1.69529,0.32041,0.16554,0.13953,0.05041,2.5889,3.00563,1.46722,0.009142,0.009142,0.009142
15,1271.68,2.61135,3.23773,1.66745,0.14036,0.13472,0.08556,0.03187,2.51363,3.12308,1.39493,0.009076,0.009076,0.009076
16,1355.47,2.57883,3.1587,1.64473,0.17076,0.16723,0.09825,0.02937,2.72561,2.85853,1.4885,0.00901,0.00901,0.00901
17,1439.37,2.50717,3.07769,1.64849,0.19538,0.26841,0.11917,0.03738,2.74555,2.86368,1.46796,0.008944,0.008944,0.008944
18,1523.18,2.53549,2.98662,1.64545,0.31962,0.16216,0.14149,0.05298,2.46883,2.83134,1.40518,0.008878,0.008878,0.008878
19,1607.03,2.49304,2.90952,1.62555,0.20361,0.21959,0.13701,0.05251,2.63152,2.67807,1.45148,0.008812,0.008812,0.008812
20,1690.8,2.43301,2.90936,1.5617,0.403,0.19764,0.1799,0.06592,2.60449,2.69383,1.43903,0.008746,0.008746,0.008746
21,1774.74,2.42038,2.90739,1.56571,0.28956,0.22973,0.17929,0.0604,2.50415,2.55201,1.42176,0.00868,0.00868,0.00868
22,1858.54,2.37768,2.81699,1.5483,0.33025,0.24662,0.18345,0.07094,2.52459,2.6712,1.43819,0.008614,0.008614,0.008614
23,1942.6,2.40232,2.72322,1.55731,0.26392,0.29899,0.16796,0.07013,2.28058,2.52777,1.3547,0.008548,0.008548,0.008548
24,2026.45,2.37744,2.74798,1.54147,0.33816,0.20101,0.19201,0.08109,2.41937,2.62442,1.41775,0.008482,0.008482,0.008482
25,2110.38,2.33608,2.62285,1.51296,0.23323,0.30574,0.15992,0.06324,2.44366,2.41802,1.37986,0.008416,0.008416,0.008416
26,2194.01,2.29892,2.60809,1.49266,0.32677,0.25676,0.18698,0.07937,2.54591,2.32661,1.4189,0.00835,0.00835,0.00835
27,2277.91,2.30263,2.58213,1.48197,0.35792,0.32702,0.22677,0.08981,2.44412,2.39599,1.40656,0.008284,0.008284,0.008284
28,2361.79,2.31038,2.57905,1.50486,0.3942,0.30405,0.24538,0.10726,2.44474,2.2693,1.37796,0.008218,0.008218,0.008218
29,2445.66,2.24297,2.51003,1.46621,0.32637,0.30616,0.22267,0.08033,2.37988,2.31517,1.37113,0.008152,0.008152,0.008152
30,2529.63,2.21399,2.44711,1.44267,0.41093,0.30743,0.24211,0.08956,2.37802,2.41265,1.38669,0.008086,0.008086,0.008086
